105,分析画面,年間予実対比,借入金返済,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '借入金返済',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 年間予実対比.借入金返済,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
106,分析画面,年間予実対比,フード売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 年間予実対比.フード売上ランチ,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
107,分析画面,年間予実対比,フード売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 年間予実対比.フード売上ディナー,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
108,分析画面,年間予実対比,ドリンク売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 年間予実対比.ドリンク売上ランチ,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
109,分析画面,年間予実対比,ドリンク売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 年間予実対比.ドリンク売上ディナー,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
110,分析画面,年間予実対比,フード仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード' GROUP BY year,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 年間予実対比.フード仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
111,分析画面,年間予実対比,ドリンク仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク' GROUP BY year,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 年間予実対比.ドリンク仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
112,分析画面,年間予実対比,固定人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者' GROUP BY year,-,head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs,head_office_connected_service_labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 年間予実対比.固定人件費,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
113,分析画面,年間予実対比,PA人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM年間,SUM(head_office_employee_working_records.daily_cost) GROUP BY year,-,head_office_employee_working_records.daily_cost,head_office_employee_working_records.daily_cost,-,[外部]head_office_employee_working_records.daily_cost,-,head_office_employee_working_records.daily_cost → head_office_employee_working_records.daily_cost → 年間予実対比.PA人件費,外部連携検証済,データソース: KOT（勤怠・人件費）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
114,分析画面,年間予実対比,ヘルプ人件費,L1,C,画面間,計算項目,外部連携×外部連携,KOT内の複数データ組合せ,help_costs-help_costs_minus,店舗別人件費.ヘルプ人件費 - 店舗別人件費.ヘルプ人件費マイナス,-,"head_office_connected_service_head_office_connected_service_labor_costs_logs.help_costs, head_office_connected_service_head_office_connected_service_labor_costs_logs.help_costs_minus","head_office_connected_service_labor_costs_logs.help_costs, head_office_connected_service_head_office_connected_service_labor_costs_logs.help_costs_minus",勤怠（KOT/ジョブカン）,-,-,head_office_connected_service_labor_costs_logs.help_costs / head_office_connected_service_head_office_connected_service_labor_costs_logs.help_costs_minus → head_office_connected_service_head_office_connected_service_labor_costs_logs.help_costs / head_office_connected_service_head_office_connected_service_labor_costs_logs.help_costs_minus → 年間予実対比.ヘルプ人件費,外部連携検証済,head_office_connected_service_labor_costs_logs.help_costs → head_office_connected_service_head_office_connected_service_labor_costs_logs.help_costs,-,-,実績算出・分析画面,実績算出,実績値を算出（定義元）。予実差額や各種比率の算出に使用。
115,分析画面,年間予実対比,地代家賃,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=家賃,monthly_costs.value WHERE cost_item = '家賃' GROUP BY year,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 年間予実対比.地代家賃,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
116,分析画面,年間予実対比,資材費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=資材費,monthly_costs.value WHERE cost_item = '資材費' GROUP BY year,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 年間予実対比.資材費,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
117,分析画面,年間予実対比,水道光熱費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=水道光熱費,monthly_costs.value WHERE cost_item = '水道光熱費' GROUP BY year,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 年間予実対比.水道光熱費,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
118,分析画面,年間予実対比,減価償却費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=減価償却費,monthly_costs.value WHERE cost_item = '減価償却費' GROUP BY year,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 年間予実対比.減価償却費,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
119,分析画面,年間予実対比,販促費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=販促費,monthly_costs.value WHERE cost_item = '販促費' GROUP BY year,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 年間予実対比.販促費,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
120,分析画面,支払種別売上分析,支払方法,L0,D,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,マスタ参照,TTEND.head_office_payment_method_id,-,t_tends.head_office_payment_method_id,TTEND.head_office_payment_method_id,POS売上（支払方法別）,[外部]TTEND.head_office_payment_method_id,-,TTEND.head_office_payment_method_id → t_tends.head_office_payment_method_id → 支払種別売上分析.支払方法,外部連携検証済,TTEND.head_office_payment_method_id → head_office_payment_method_sales_logs.head_office_payment_method_id,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
121,分析画面,支払種別売上分析,売上（税込）,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM支払別,SUM(TTEND.sales) GROUP BY payment_method_id,-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,"支払種別売上分析.売上比率, 日次レポート",TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.売上税込,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
122,分析画面,支払種別売上分析,売上比率,L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,支払÷総売上×100,支払種別売上分析.売上税込 ÷ 当月実績.売上（税抜） × 100,-,"head_office_payment_method_sales_logs.sales, head_office_connected_service_sales_logs.sales_excluded","TTEND.sales, ZTOTAL.sales_excluded","POS売上（支払方法別）, POS売上（日別集計）",当月実績.売上（税抜）,-,TTEND.sales / ZTOTAL.sales_excluded → head_office_payment_method_sales_logs.sales / head_office_connected_service_sales_logs.sales_excluded → 支払種別売上分析.売上比率,スキーマ検証済,-,税込÷税抜の比率計算は正しいか,税込同士または税抜同士で統一すべき,分析画面,既存指標,実画面に表示されている指標（分析画面）。
123,分析画面,支払種別売上分析,クレジットカード合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'クレジットカード',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.クレジットカード合計売上,スキーマ検証済,-,支払種別のIDまたは名称での絞り込み方法が不明,支払種別マスタを確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
124,分析画面,支払種別売上分析,QR決済合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'QR決済',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.QR決済合計売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
125,分析画面,支払種別売上分析,MUGENファミリーカード合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'MUGENファミリーカード',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.MUGENファミリーカード合計売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
126,分析画面,支払種別売上分析,売掛合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '売掛',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.売掛合計売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
127,分析画面,支払種別売上分析,交通系IC合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '交通系IC',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.交通系IC合計売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
128,分析画面,日次レポート,売上（税込）,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales) GROUP BY date,-,z_totals.sales,ZTOTAL.sales,POS売上（日別集計）,[外部]ZTOTAL.sales,-,ZTOTAL.sales → z_totals.sales → 日次レポート.売上税込,外部連携検証済,ZTOTAL.sales → head_office_connected_service_sales_logs.sales,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
129,分析画面,日次レポート,売上（税抜）,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales_excluded) GROUP BY date,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,"当月実績.売上（税抜）, 店舗別サマリー.売上（税抜）, ABC分析.売上（税抜）, 日次推移.売上（税抜）",ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 日次レポート.売上(税抜),スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
130,分析画面,日次レポート,仕入（税込）,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(trade_total.total) GROUP BY date,-,infomart_orders.trade_total,trade_total.total,-,[外部]trade_total.total,-,trade_total.total → infomart_orders.trade_total → 日次レポート.仕入税込,外部連携検証済,trade_total.total → infomart_transactions.total,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
131,分析画面,日次レポート,仕入（税抜）,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(infomart_transactions.total_tax_excluded) GROUP BY date,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 日次レポート.仕入（税抜）,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
132,分析画面,日次レポート,PA人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,日別集計,SUM(head_office_employee_working_records.daily_cost) GROUP BY date,-,head_office_employee_working_records.daily_cost,head_office_employee_working_records.daily_cost,-,[外部]head_office_employee_working_records.daily_cost,"日次推移.PA人件費, 予実対比.PA人件費",head_office_employee_working_records.daily_cost → head_office_employee_working_records.daily_cost → 日次レポート.PA人件費,外部連携検証済,データソース: KOT（勤怠・人件費）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
133,分析画面,日次推移,売上（税抜）,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales_excluded) GROUP BY date,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,"ABC分析, 店舗別サマリー, 当月実績, 日次レポート, 曜日別売上分析.平均売上（税抜）",ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 日次推移.売上(税抜),スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
134,分析画面,日次推移,仕入費,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(infomart_transactions.total_tax_excluded) GROUP BY date,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 日次推移.仕入費,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
135,分析画面,日次推移,PA人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,日別集計,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY date,-,head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs,head_office_connected_service_labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]head_office_connected_service_labor_costs_logs.labor_costs,"予実対比, 日次レポート",head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 日次推移.PA人件費,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
136,分析画面,時間帯別売上分析,ランチ売上（税抜）,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(時間フィルタ),SUM(TITEM.sales_excluded) WHERE order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,年間予実対比.客単価(ランチ),TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 時間帯別売上分析.ランチ売上(税抜),スキーマ検証済,-,15:00は含むか含まないか不明,時間境界の仕様を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
137,分析画面,時間帯別売上分析,ディナー売上（税抜）,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(時間フィルタ),SUM(TITEM.sales_excluded) WHERE order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,年間予実対比.客単価(ディナー),TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 時間帯別売上分析.ディナー売上(税抜),スキーマ検証済,-,15:01-16:59の売上はどこに計上されるか不明,アイドルタイム売上の扱いを確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
138,分析画面,時間帯別売上分析,客数,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM時間帯別,SUM(ZTOTAL.customers) GROUP BY hour,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,[外部]ZTOTAL.customers,"客数.当月客数, 年間予実対比.客単価(ディナー), 年間予実対比.客単価(ランチ), 時間帯別売上分析.客単価（税抜）, 曜日別売上分析.平均客数, 曜日別売上分析.平均客数（税抜）",ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 時間帯別売上分析.客数,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
139,分析画面,時間帯別売上分析,客単価（税抜）,L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上（税抜） ÷ 時間帯別売上分析.客数,-,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","ZTOTAL.sales_excluded, ZTOTAL.customers",POS売上（日別集計）,"当月実績.売上（税抜）, 時間帯別売上分析.客数",-,ZTOTAL.sales_excluded / ZTOTAL.customers → head_office_connected_service_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 時間帯別売上分析.客単価(税抜),スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
140,分析画面,曜日別売上分析,曜日,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,曜日抽出,DAYOFWEEK(ZTOTAL.date),-,z_totals.date,ZTOTAL.date,POS売上（日別集計）,[外部]ZTOTAL.date,-,ZTOTAL.date → z_totals.date → 曜日別売上分析.曜日,外部連携検証済,ZTOTAL.date → head_office_connected_service_sales_logs.date,曜日の開始(日曜 or 月曜)が不明,曜日番号の定義を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
141,分析画面,曜日別売上分析,平均売上（税抜）,L1,C,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(日次推移.売上（税抜）) GROUP BY dayofweek,日次推移.売上(税抜),-,-,-,"日次推移.売上（税抜）, 日次推移.売上（税抜）",-,日次推移.売上(税抜) → 曜日別売上分析.平均売上(税抜),演算検証済,インプット元: 日次推移.売上(税抜),-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
142,分析画面,曜日別売上分析,平均客数,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(時間帯別売上分析.客数) GROUP BY dayofweek,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,時間帯別売上分析.客数,"時間帯別売上分析.客数, 客数.当月客数",ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 曜日別売上分析.平均客数,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
143,分析画面,曜日別売上分析,平均客数（税抜）,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(時間帯別売上分析.客数) GROUP BY dayofweek,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,時間帯別売上分析.客数,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 曜日別売上分析.平均客数(税抜),スキーマ検証済,-,1210版CSVの「平均客数（税抜）」に対応（客数に税抜の概念はないが1210版CSVの表記に合わせる）,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
144,分析画面,月次レポート,原価（金額）,L4a,C,画面内,計算項目,複数種類混在,棚卸入力とインフォマート仕入の組合せ,前月在庫+仕入-当月在庫,月次レポート.対象前月在庫(金額) + 月次レポート.仕入総額 - 月次レポート.対象月在庫(金額),-,"shop_inventories.amount（棚卸入力）, infomart_transactions.total_tax_excluded",tax_excluded_total.amount,インフォマート（仕入）,月次レポート.仕入総額,月次レポート.原価率,tax_excluded_total.amount → shop_inventories.amount（棚卸入力） / infomart_transactions.total_tax_excluded → 月次レポート.原価金額,要確認,テーブル'shop_inventories'が存在しない; テーブル'infomart_orders'が存在しない,棚卸データのテーブル構造が不明,棚卸マスタのスキーマを確認必要,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
145,分析画面,月次レポート,原価率,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,原価÷売上×100,月次レポート.原価金額 ÷ 当月実績.売上（税抜） × 100,月次レポート.原価金額,z_totals.sales_excluded,-,-,当月実績.売上（税抜）,-,z_totals.sales_excluded → 月次レポート.原価金額 → 月次レポート.原価率,演算検証済,インプット元: 月次レポート.原価金額,-,-,実績算出・分析画面,実績算出・分析,実績値の算出と予実対比の分析表示。定義元かつ分析表示。
146,分析画面,月次レポート,対象前月在庫（金額）,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE year_month = target_month - 1,-,shop_inventories.amount（棚卸入力）,-,-,-,月次レポート.原価（金額）,shop_inventories.amount（棚卸入力） → 月次レポート.対象前月在庫(金額),AI推測,棚卸マスタから前月末在庫を取得と推測,shop_inventoriesテーブルの存在が未確認,テーブル構造を確認必要,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
147,分析画面,月次レポート,仕入総額,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM,SUM(tax_excluded_total.amount),-,infomart_transactions.total_tax_excluded,tax_excluded_total.amount,インフォマート（仕入）,[外部]tax_excluded_total.amount,月次レポート.原価（金額）,tax_excluded_total.amount → infomart_transactions.total_tax_excluded → 月次レポート.仕入総額,外部連携検証済,データソース: インフォマート（仕入）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
148,分析画面,月次レポート,対象月在庫（金額）,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE year_month = target_month,-,shop_inventories.amount（棚卸入力）,-,-,-,月次レポート.原価（金額）,shop_inventories.amount（棚卸入力） → 月次レポート.対象月在庫(金額),AI推測,棚卸マスタから当月末在庫を取得と推測,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
149,分析画面,月次レポート,店舗名,L2,D,-,店舗マスタ（設定）,ラクミー設定マスタ単独,ラクミー設定マスタから取得,マスタ参照,shops.name,-,shops.name,-,-,[マスタ]shops.name,-,shops.name → 月次レポート.店舗名,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
150,分析画面,月次レポート,売上合計（税抜）,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM月間,SUM(ZTOTAL.sales_excluded) GROUP BY year_month,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 月次レポート.売上合計(税抜),スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
151,分析画面,費目別仕入分析,費目,L2,D,-,店舗マスタ（設定）,ラクミー設定マスタ単独,ラクミー設定マスタから取得,費目マスタ,monthly_cost_items.name,-,monthly_cost_items.name,-,-,[マスタ]monthly_cost_items.name,-,monthly_cost_items.name → 費目別仕入分析.費目,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
152,分析画面,費目別仕入分析,金額（税抜）,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,SUM費目別,SUM(monthly_costs.value) GROUP BY cost_item_id,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,費目別仕入分析.比率,monthly_costs.value → 費目別仕入分析.金額税抜,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
153,分析画面,費目別仕入分析,比率,L4a,C,画面内,計算項目,設定参照×設定参照,複数の費用設定の組合せ,費目÷総仕入×100,費目別仕入分析.金額税抜 ÷ SUM(費目別仕入分析.金額税抜) × 100,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,"仕入別分析.比率, 商品別仕入分析.比率",monthly_costs.value → 費目別仕入分析.比率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
