次数,画面タイトル,画面タイプ,指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,依存先指標,被参照指標,V89No
2次,年間予実対比（予実対比）,分析画面,年間実績_ガス代,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'ガス代',C,計算項目,-,monthly_costs.value,-,-,275
2次,年間予実対比（予実対比）,分析画面,年間実績_クレジットカード手数料,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'クレジットカード手数料',C,計算項目,-,monthly_costs.value,-,-,276
2次,年間予実対比（予実対比）,分析画面,年間実績_レジ利用料,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'レジ利用料',C,計算項目,-,monthly_costs.value,-,-,277
2次,年間予実対比（予実対比）,分析画面,年間実績_借入金返済,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '借入金返済',C,計算項目,-,monthly_costs.value,-,-,278
2次,年間予実対比（予実対比）,分析画面,年間実績_家賃（変動分）,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '家賃(変動分)',C,計算項目,-,monthly_costs.value,-,-,279
2次,年間予実対比（予実対比）,分析画面,年間実績_水道代,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '水道代',C,計算項目,-,monthly_costs.value,-,-,280
2次,年間予実対比（予実対比）,分析画面,年間実績_社員人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者',C,KOT（勤怠・人件費）,-,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,281
2次,年間予実対比（予実対比）,分析画面,年間実績_電気代,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '電気代',C,計算項目,-,monthly_costs.value,-,-,282
2次,年間予実対比（予実対比）,分析画面,年間実績_フード売上ランチ,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,284
2次,年間予実対比（予実対比）,分析画面,年間実績_フード売上ディナー,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,285
2次,年間予実対比（予実対比）,分析画面,年間実績_ドリンク売上ランチ,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,286
2次,年間予実対比（予実対比）,分析画面,年間実績_ドリンク売上ディナー,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,287
2次,年間予実対比（予実対比）,分析画面,年間実績_フード仕入,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード' GROUP BY year,C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,288
2次,年間予実対比（予実対比）,分析画面,年間実績_ドリンク仕入,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク' GROUP BY year,C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,289
2次,年間予実対比（予実対比）,分析画面,年間実績_固定人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者' GROUP BY year,C,KOT（勤怠・人件費）,-,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,290
2次,年間予実対比（予実対比）,分析画面,年間実績_PA人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_employee_working_records.daily_cost) GROUP BY year,C,KOT（勤怠・人件費）,-,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,-,291
2次,年間予実対比（予実対比）,分析画面,年間実績_地代家賃,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=家賃,monthly_costs.value WHERE cost_item = '家賃' GROUP BY year,C,計算項目,-,monthly_costs.value,-,-,293
2次,年間予実対比（予実対比）,分析画面,年間実績_資材費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=資材費,monthly_costs.value WHERE cost_item = '資材費' GROUP BY year,C,計算項目,-,monthly_costs.value,-,-,294
2次,年間予実対比（予実対比）,分析画面,年間実績_水道光熱費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=水道光熱費,monthly_costs.value WHERE cost_item = '水道光熱費' GROUP BY year,C,計算項目,-,monthly_costs.value,-,-,295
2次,年間予実対比（予実対比）,分析画面,年間実績_減価償却費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=減価償却費,monthly_costs.value WHERE cost_item = '減価償却費' GROUP BY year,C,計算項目,-,monthly_costs.value,-,-,296
2次,年間予実対比（予実対比）,分析画面,年間実績_販促費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=販促費,monthly_costs.value WHERE cost_item = '販促費' GROUP BY year,C,計算項目,-,monthly_costs.value,-,-,297
2次,年間予実対比（予実対比）,分析画面,年間予算_総売上 計,L1,同画面内,予算設定参照,月次予算設定の年間累計,SUM月次予算,SUM(monthly_budgets.target_sales) GROUP BY year,A,計算項目,-,monthly_budgets.target_sales,月次予算設定.年間総売上,-,551
2次,年間予実対比（予実対比）,分析画面,年間予算_フード売上 計,L1,同画面内,予算設定参照×演算,年間予算_総売上×フード構成比,年間予算_総売上 計 × 売上構成比設定.フード構成比,年間予算 × food_ratio,B,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.food_ratio",月次予算設定.年間フード売上,-,552
2次,年間予実対比（予実対比）,分析画面,年間予算_フード売上ランチ,L1,同画面内,予算設定参照×演算,年間予算_フード売上×ランチ比率,年間予算_フード売上 計 × 売上構成比設定.ランチ比率,年間予算 × lunch_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",月次予算設定.年間フード売上ランチ,-,553
2次,年間予実対比（予実対比）,分析画面,年間予算_フード売上ディナー,L1,同画面内,予算設定参照×演算,年間予算_フード売上×ディナー比率,年間予算_フード売上 計 × 売上構成比設定.ディナー比率,年間予算 × dinner_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",月次予算設定.年間フード売上ディナー,-,554
2次,年間予実対比（予実対比）,分析画面,年間予算_ドリンク売上 計,L1,同画面内,予算設定参照×演算,年間予算_総売上×ドリンク構成比,年間予算_総売上 計 × 売上構成比設定.ドリンク構成比,年間予算 × drink_ratio,B,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.drink_ratio",月次予算設定.年間ドリンク売上,-,555
2次,年間予実対比（予実対比）,分析画面,年間予算_ドリンク売上ランチ,L1,同画面内,予算設定参照×演算,年間予算_ドリンク売上×ランチ比率,年間予算_ドリンク売上 計 × 売上構成比設定.ランチ比率,年間予算 × lunch_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",月次予算設定.年間ドリンク売上ランチ,-,556
2次,年間予実対比（予実対比）,分析画面,年間予算_ドリンク売上ディナー,L1,同画面内,予算設定参照×演算,年間予算_ドリンク売上×ディナー比率,年間予算_ドリンク売上 計 × 売上構成比設定.ディナー比率,年間予算 × dinner_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",月次予算設定.年間ドリンク売上ディナー,-,557
2次,年間予実対比（予実対比）,分析画面,年間予算_その他売上 計（サービス料等）,L1,同画面内,予算設定参照×演算,年間予算_総売上×その他構成比,年間予算_総売上 計 × 売上構成比設定.その他構成比,年間予算 × other_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.other_ratio",月次予算設定.年間その他売上（サービス料等）,-,558
2次,年間予実対比（予実対比）,分析画面,年間予算_その他売上ランチ,L1,同画面内,予算設定参照×演算,年間予算_その他売上×ランチ比率,年間予算_その他売上 計 × 売上構成比設定.ランチ比率,年間予算 × lunch_ratio,D,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",月次予算設定.年間その他売上ランチ,-,559
2次,年間予実対比（予実対比）,分析画面,年間予算_その他売上ディナー,L1,同画面内,予算設定参照×演算,年間予算_その他売上×ディナー比率,年間予算_その他売上 計 × 売上構成比設定.ディナー比率,年間予算 × dinner_ratio,D,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",月次予算設定.年間その他売上ディナー,-,560
2次,年間予実対比（予実対比）,分析画面,年間予算_FD仕入 計,L1,同画面内,予算設定参照×演算,月次予算設定.売上×FD仕入比率の年間累計,SUM(monthly_budgets.target_sales × monthly_budgets.food_cost_rate) GROUP BY year,target_sales × food_cost_rate,A,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.food_cost_rate",月次予算設定.年間FD仕入,-,562
2次,年間予実対比（予実対比）,分析画面,年間予算_フード仕入,L1,同画面内,予算設定参照×演算,年間予算_FD仕入×フード比率,年間予算_FD仕入 計 × FD構成比設定.フード比率,FD仕入予算 × food_ratio,B,計算項目,-,"monthly_budgets.food_cost_rate, fd_compositions.food_ratio",月次予算設定.年間フード仕入,-,563
2次,年間予実対比（予実対比）,分析画面,年間予算_ドリンク仕入,L1,同画面内,予算設定参照×演算,年間予算_FD仕入×ドリンク比率,年間予算_FD仕入 計 × FD構成比設定.ドリンク比率,FD仕入予算 × drink_ratio,B,計算項目,-,"monthly_budgets.food_cost_rate, fd_compositions.drink_ratio",月次予算設定.年間ドリンク仕入,-,564
2次,年間予実対比（予実対比）,分析画面,年間予算_人件費 計,L1,同画面内,予算設定参照×演算,(売上×PA人件費率+固定人件費)の年間累計,SUM(monthly_budgets.target_sales × monthly_budgets.labor_cost_rate + 固定人件費) GROUP BY year,(target_sales × labor_cost_rate + 固定人件費),A,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.labor_cost_rate, 固定人件費予算",月次予算設定.年間人件費,-,565
2次,年間予実対比（予実対比）,分析画面,年間予算_PA人件費,L1,同画面内,予算設定参照×演算,売上×PA人件費率の年間累計,SUM(monthly_budgets.target_sales × monthly_budgets.labor_cost_rate) GROUP BY year,target_sales × labor_cost_rate,B,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.labor_cost_rate",月次予算設定.年間PA人件費,-,567
2次,店舗別サマリー,ダッシュボード表示画面,売上目標,L1,同画面内,予算設定参照,月次予算設定.売上（税抜）を参照表示,マスタ参照,monthly_budgets.value,B,予算設定（入力）,店舗ごとの主要指標サマリー,monthly_budgets.profit,月次予算設定.売上（税抜）,"店舗別サマリー.売上進捗率, 店舗別サマリー.売上達成率",481
2次,店舗別サマリー,ダッシュボード表示画面,売上（税抜）,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.sales_excluded) GROUP BY shop_id,S,POS（売上・客数）,店舗ごとの主要指標サマリー,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,-,484
2次,当月実績,ダッシュボード表示画面,売上（税抜）,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.sales_excluded),S,POS（売上・客数）,当月の営業利益・売上・FD仕入率・人件費率・FL率を表示,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,"ABC分析.売上（税抜）, 予算設定.売上（税抜）, 当月実績.FD仕入率, 当月実績.FL率, 当月実績.人件費率, 当月実績.営業利益, 支払種別売上分析.売上比率, 日次レポート.売上（税抜）",489
2次,当月実績,ダッシュボード表示画面,営業利益予算,L1,同画面内,予算設定参照,月次予算設定の目標利益を参照表示,参照表示,monthly_budgets.profit,S,予算設定（入力）,当月の営業利益・売上・FD仕入率・人件費率・FL率を表示,monthly_budgets.profit,月次予算設定.目標月次利益,当月実績.営業利益達成率,493
2次,当月実績,ダッシュボード表示画面,売上予算,L1,同画面内,予算設定参照,月次予算設定の目標売上を参照表示,参照表示,monthly_budgets.sales,S,予算設定（入力）,当月の営業利益・売上・FD仕入率・人件費率・FL率を表示,monthly_budgets.sales,月次予算設定.売上予算,当月実績.売上達成率,495
2次,感度分析,分析画面,客数,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.customers),A,POS（売上・客数）,-,head_office_connected_service_sales_logs.customers,[外部]ZTOTAL.customers,"予算設定.客数, 感度分析.変動費単価, 感度分析.客単価（税抜）, 感度分析.粗利単価, 時間帯別売上分析.客数, 月次集計.客数, 流入分析.客数",303
2次,感度分析,分析画面,売上（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),S,POS（売上・客数）,-,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,"当月実績.売上（税抜）, ABC分析.売上（税抜）, 日次レポート.売上（税抜）",304
2次,感度分析,分析画面,固定費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,SUM,SUM(monthly_costs.value) WHERE cost_type = '固定費',C,計算項目,-,monthly_costs.value,-,-,307
2次,支払種別売上分析,分析画面,支払方法,L1,同画面内,外部連携単独,POSデータから単独取得,マスタ参照,TTEND.head_office_payment_method_id,D,POS（売上・客数）,-,t_tends.head_office_payment_method_id,[外部]TTEND.head_office_payment_method_id,-,308
2次,支払種別売上分析,分析画面,売上（税込）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM支払別,SUM(TTEND.sales) GROUP BY payment_method_id,C,POS（売上・客数）,-,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,支払種別売上分析.売上比率,309
2次,支払種別売上分析,分析画面,クレジットカード合計売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'クレジットカード',C,POS（売上・客数）,-,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,-,311
2次,支払種別売上分析,分析画面,QR決済合計売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'QR決済',C,POS（売上・客数）,-,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,-,312
2次,支払種別売上分析,分析画面,MUGENファミリーカード合計売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'MUGENファミリーカード',C,POS（売上・客数）,-,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,-,313
2次,支払種別売上分析,分析画面,売掛合計売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '売掛',C,POS（売上・客数）,-,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,-,314
2次,支払種別売上分析,分析画面,交通系IC合計売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '交通系IC',C,POS（売上・客数）,-,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,-,315
2次,日次レポート,分析画面,売上（税込）,L1,同画面内,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales) GROUP BY date,S,POS（売上・客数）,-,z_totals.sales,[外部]ZTOTAL.sales,-,316
2次,日次レポート,分析画面,売上（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales_excluded) GROUP BY date,S,POS（売上・客数）,-,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,"ABC分析.売上（税抜）, 当月実績.売上（税抜）, 感度分析.売上（税抜）",317
2次,日次レポート,分析画面,仕入（税込）,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(trade_total.total) GROUP BY date,S,インフォマート（仕入）,-,infomart_orders.total,[外部]trade_total.total,-,318
2次,日次レポート,分析画面,仕入（税抜）,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(infomart_transactions.total_tax_excluded) GROUP BY date,A,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,319
2次,日次レポート,分析画面,PA人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,日別集計,SUM(head_office_employee_working_records.daily_cost) GROUP BY date,S,KOT（勤怠・人件費）,-,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,予実対比.PA人件費,320
2次,時間帯別売上分析,分析画面,ランチ売上（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(時間フィルタ),SUM(TITEM.sales_excluded) WHERE order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,年間予実対比（サマリー）.客単価（ランチ）,321
2次,時間帯別売上分析,分析画面,ディナー売上（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(時間フィルタ),SUM(TITEM.sales_excluded) WHERE order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,年間予実対比（サマリー）.客単価（ディナー）,322
2次,時間帯別売上分析,分析画面,客数,L1,同画面内,外部連携単独,POSデータから単独取得,SUM時間帯別,SUM(ZTOTAL.customers) GROUP BY hour,A,POS（売上・客数）,-,head_office_connected_service_sales_logs.customers,[外部]ZTOTAL.customers,"感度分析.客数, 時間帯別売上分析.客単価（税抜）, 曜日別売上分析.平均客数, 流入分析.テーブル回転数",323
2次,曜日別売上分析,分析画面,曜日,L1,同画面内,外部連携単独,POSデータから単独取得,曜日抽出,DAYOFWEEK(ZTOTAL.date),C,POS（売上・客数）,-,z_totals.date,[外部]ZTOTAL.date,-,325
2次,月次レポート,分析画面,売上（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM月間,SUM(ZTOTAL.sales_excluded) GROUP BY year_month,S,POS（売上・客数）,-,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,-,331
2次,月次レポート,分析画面,対象前月在庫,L1,同画面内,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE year_month = target_month - 1,C,計算項目,-,shop_inventories.amount（棚卸入力）,-,月次レポート.原価（金額）,332
2次,月次レポート,分析画面,仕入総額,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM,SUM(infomart_transactions.total_tax_excluded),C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,月次レポート.原価（金額）,333
2次,月次レポート,分析画面,対象月在庫,L1,同画面内,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE year_month = target_month,C,計算項目,-,shop_inventories.amount（棚卸入力）,-,月次レポート.原価（金額）,334
2次,月次レポート,分析画面,年月,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,年月参照,monthly_cost_entries.year_month,C,計算項目,-,"monthly_cost_entries.year_month, monthly_costs.value",-,-,335
2次,月次レポート,分析画面,売上（税込）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM月間,SUM(ZTOTAL.sales) GROUP BY year_month,C,POS（売上・客数）,-,z_totals.sales,[外部]ZTOTAL.sales,-,336
2次,月次レポート,分析画面,仕入（税抜）,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM月間,SUM(infomart_transactions.total_tax_excluded) GROUP BY year_month,C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,337
2次,月次レポート,分析画面,仕入（税込）,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM月間,SUM(trade_total.total) GROUP BY year_month,C,インフォマート（仕入）,-,infomart_orders.total,[外部]trade_total.total,-,338
2次,月次レポート,分析画面,PA人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月間,SUM(head_office_employee_working_records.daily_cost) GROUP BY year_month,C,KOT（勤怠・人件費）,-,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,-,339
2次,月次集計,分析画面,固定費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,SUM,SUM(monthly_costs.value) WHERE cost_type = '固定費',C,計算項目,-,monthly_costs.value,-,-,350
2次,月次集計,分析画面,売上（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),S,POS（売上・客数）,-,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,-,351
2次,月次集計,分析画面,客数,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.customers),A,POS（売上・客数）,-,head_office_connected_service_sales_logs.customers,[外部]ZTOTAL.customers,-,352
2次,流入分析,分析画面,予約客数,L1,同画面内,外部連携単独,予約システムから単独取得,SUM予約,SUM(予約連携.customers),A,予約システム,-,reservations.customers,-,"流入分析.ウォークイン客数, 流入分析.テーブル稼働率, 流入分析.予約売上, 流入分析.予約客単価, 流入分析.予約客数トレンド",356
2次,流入分析,分析画面,総席数,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.customers),C,POS（売上・客数）,-,head_office_connected_service_sales_logs.customers,[外部]ZTOTAL.customers,-,361
2次,流入分析,分析画面,総組数,L1,同画面内,外部連携単独,POSデータから単独取得,COUNT伝票,COUNT(TTOTAL.receipt_no),C,POS（売上・客数）,-,t_totals.receipt_no,[外部]TTOTAL.receipt_no,流入分析.回転数,362
2次,流入分析,分析画面,客数,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.customers),A,POS（売上・客数）,-,head_office_connected_service_sales_logs.customers,[外部]ZTOTAL.customers,-,371
2次,費目別仕入分析,分析画面,金額（税抜）,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,SUM費目別,SUM(monthly_costs.value) GROUP BY cost_item_id,C,計算項目,費目ごとの仕入金額を分析,monthly_costs.value,-,費目別仕入分析.比率,373
3次,ABC分析,分析画面,販売点数構成比率,L2-S,単店舗,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,商品数÷総数×100,ABC分析.販売点数 ÷ SUM(ABC分析.販売点数) × 100,C,計算項目,-,head_office_item_sales_logs.quantity,ABC分析.販売点数,-,103
3次,ABC分析,分析画面,価格,L2-S,単店舗,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,ABC分析.売上（税抜） ÷ ABC分析.販売点数,C,計算項目,-,"head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity","ABC分析.売上（税抜）, ABC分析.販売点数",-,104
3次,FD仕入率トレンド,分析画面,直近6ヶ月,L2-S,単店舗,演算×演算,複数の演算結果の組合せ,6ヶ月推移,FD仕入率 直近6ヶ月トレンド,C,計算項目,FD仕入率の長期トレンドを表示,-,FD仕入率トレンド.FD仕入率トレンド,-,106
3次,FD仕入率トレンド,分析画面,直近12ヶ月,L2-S,単店舗,演算×演算,複数の演算結果の組合せ,12ヶ月推移,FD仕入率 直近12ヶ月トレンド,C,計算項目,FD仕入率の長期トレンドを表示,-,FD仕入率トレンド.FD仕入率トレンド,-,107
3次,ラベル設定（仕入商品リスト）,設定入力画面,AIによる費目生成,L2-S,単店舗,AI生成,AIによる自動生成,AI生成,-,D,AI生成,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,-,-,-,9
3次,ラベル設定（売上商品リスト）,設定入力画面,AIによるラベル生成,L2-S,単店舗,AI生成,AIによる自動生成,AI生成,-,D,AI生成,POS連携の売上商品にラベルを設定。売上分析のグルーピングに使用,-,-,-,26
3次,予実対比,分析画面,実績_FLコスト 計,L2-S,単店舗,画面内演算,FD仕入+人件費の合計,実績_FD仕入 計 + 実績_人件費 計,FD仕入 + 人件費,A,計算項目,-,-,"予実対比.実績_FD仕入 計, 予実対比.実績_人件費 計",-,141
3次,予実対比,分析画面,実績_営業利益,L2-S,単店舗,画面内演算,総売上-FLコスト-その他経費,実績_総売上 計 - 実績_FLコスト 計 - 実績_その他経費 計,総売上 - FLコスト - その他経費,A,計算項目,-,-,"予実対比.実績_総売上 計, 予実対比.実績_FLコスト 計, 予実対比.実績_その他経費 計",-,166
3次,予実対比,分析画面,予算_営業利益,L2-S,単店舗,画面内演算,予算_総売上-予算_FLコスト-予算_その他経費,予算_総売上 計 - 予算_FLコスト 計 - 予算_その他経費 計,予算_総売上 - 予算_FLコスト - 予算_その他経費,A,計算項目,-,-,"予実対比.予算_総売上 計, 予実対比.予算_FLコスト 計, 予実対比.予算_その他経費 計",-,202
3次,予実対比,分析画面,予算構成比_総売上 計,L2-S,単店舗,画面内演算,予算_総売上÷予算_総売上×100,予算_総売上 計 ÷ 予算_総売上 計 × 100,100%（基準値）,A,計算項目,-,-,予実対比.予算_総売上 計,-,203
3次,予実対比,分析画面,予算構成比_フード売上 計,L2-S,単店舗,画面内演算,予算_フード売上÷予算_総売上×100,予算_フード売上 計 ÷ 予算_総売上 計 × 100,予算_フード売上 / 予算_総売上 × 100,B,計算項目,-,-,"予実対比.予算_フード売上 計, 予実対比.予算_総売上 計",-,204
3次,予実対比,分析画面,予算構成比_ドリンク売上 計,L2-S,単店舗,画面内演算,予算_ドリンク売上÷予算_総売上×100,予算_ドリンク売上 計 ÷ 予算_総売上 計 × 100,予算_ドリンク売上 / 予算_総売上 × 100,B,計算項目,-,-,"予実対比.予算_ドリンク売上 計, 予実対比.予算_総売上 計",-,205
3次,予実対比,分析画面,予算構成比_その他売上 計,L2-S,単店舗,画面内演算,予算_その他売上÷予算_総売上×100,予算_その他売上 計 ÷ 予算_総売上 計 × 100,予算_その他売上 / 予算_総売上 × 100,C,計算項目,-,-,"予実対比.予算_その他売上 計, 予実対比.予算_総売上 計",-,206
3次,予実対比,分析画面,予算構成比_FLコスト 計,L2-S,単店舗,画面内演算,予算_FLコスト÷予算_総売上×100,予算_FLコスト 計 ÷ 予算_総売上 計 × 100,予算_FLコスト / 予算_総売上 × 100,A,計算項目,-,-,"予実対比.予算_FLコスト 計, 予実対比.予算_総売上 計",-,207
