次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,データ負荷レベル,スナップショット対象,依存先指標,被参照指標,判断基準・閾値目安,データ基盤要件,V69No/戦略No
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_ドリンク仕入,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_ドリンク仕入 - 年間予算_ドリンク仕入,実績 - 予算,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_ドリンク仕入, 年間予実対比（予実対比）.年間予算_ドリンク仕入",-,-,既存(V89/V69),356
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_人件費 計,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_人件費 計 - 年間予算_人件費 計,実績 - 予算,A,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_人件費 計, 年間予実対比（予実対比）.年間予算_人件費 計",-,-,既存(V89/V69),357
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_固定人件費,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_固定人件費 - 年間予算_固定人件費,実績 - 予算,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_固定人件費, 年間予実対比（予実対比）.年間予算_固定人件費",-,-,既存(V89/V69),358
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_PA人件費,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_PA人件費 - 年間予算_PA人件費,実績 - 予算,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_PA人件費, 年間予実対比（予実対比）.年間予算_PA人件費",-,-,既存(V89/V69),359
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_社員人件費,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_社員人件費 - 年間予算_社員人件費,実績 - 予算,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_社員人件費, 年間予実対比（予実対比）.年間予算_社員人件費",-,-,既存(V89/V69),360
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_ヘルプ人件費,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_ヘルプ人件費 - 年間予算_ヘルプ人件費,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_ヘルプ人件費, 年間予実対比（予実対比）.年間予算_ヘルプ人件費",-,-,既存(V89/V69),361
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_その他経費 計,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_その他経費 計 - 年間予算_その他経費 計,実績 - 予算,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_その他経費 計, 年間予実対比（予実対比）.年間予算_その他経費 計",-,-,既存(V89/V69),362
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_地代家賃,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_地代家賃 - 年間予算_地代家賃,実績 - 予算,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_地代家賃, 年間予実対比（予実対比）.年間予算_地代家賃",-,-,既存(V89/V69),363
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_家賃（変動分）,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_家賃（変動分） - 年間予算_家賃（変動分）,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_家賃（変動分）, 年間予実対比（予実対比）.年間予算_家賃（変動分）",-,-,既存(V89/V69),364
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_水道光熱費,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_水道光熱費 - 年間予算_水道光熱費,実績 - 予算,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_水道光熱費, 年間予実対比（予実対比）.年間予算_水道光熱費",-,-,既存(V89/V69),365
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_電気代,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_電気代 - 年間予算_電気代,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_電気代, 年間予実対比（予実対比）.年間予算_電気代",-,-,既存(V89/V69),366
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_ガス代,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_ガス代 - 年間予算_ガス代,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_ガス代, 年間予実対比（予実対比）.年間予算_ガス代",-,-,既存(V89/V69),367
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_水道代,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_水道代 - 年間予算_水道代,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_水道代, 年間予実対比（予実対比）.年間予算_水道代",-,-,既存(V89/V69),368
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_減価償却費,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_減価償却費 - 年間予算_減価償却費,実績 - 予算,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_減価償却費, 年間予実対比（予実対比）.年間予算_減価償却費",-,-,既存(V89/V69),369
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_販促費,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_販促費 - 年間予算_販促費,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_販促費, 年間予実対比（予実対比）.年間予算_販促費",-,-,既存(V89/V69),370
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_資材費,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_資材費 - 年間予算_資材費,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_資材費, 年間予実対比（予実対比）.年間予算_資材費",-,-,既存(V89/V69),371
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_借入金返済,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_借入金返済 - 年間予算_借入金返済,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_借入金返済, 年間予実対比（予実対比）.年間予算_借入金返済",-,-,既存(V89/V69),372
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_IT費用,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_IT費用 - 年間予算_IT費用,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_IT費用, 年間予実対比（予実対比）.年間予算_IT費用",-,-,既存(V89/V69),373
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_ラクミー利用料,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_ラクミー利用料 - 年間予算_ラクミー利用料,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_ラクミー利用料, 年間予実対比（予実対比）.年間予算_ラクミー利用料",-,-,既存(V89/V69),374
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_レジ利用料,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_レジ利用料 - 年間予算_レジ利用料,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_レジ利用料, 年間予実対比（予実対比）.年間予算_レジ利用料",-,-,既存(V89/V69),375
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_クレジットカード手数料,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_クレジットカード手数料 - 年間予算_クレジットカード手数料,実績 - 予算,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_クレジットカード手数料, 年間予実対比（予実対比）.年間予算_クレジットカード手数料",-,-,既存(V89/V69),376
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_お花代,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_お花代 - 年間予算_お花代,実績 - 予算,D,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_お花代, 年間予実対比（予実対比）.年間予算_お花代",-,-,既存(V89/V69),377
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_営業利益,,,L2-S,単店舗(画面内),画面内演算,年間実績-年間予算の差額,年間実績_営業利益 - 年間予算_営業利益,実績 - 予算,A,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_営業利益, 年間予実対比（予実対比）.年間予算_営業利益",-,-,既存(V89/V69),378
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_総売上 計,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_総売上 計 ÷ 年間予算_総売上 計 × 100,実績 / 予算 × 100,A,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_総売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,-,既存(V89/V69),379
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_フード売上 計,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_フード売上 計 ÷ 年間予算_フード売上 計 × 100,実績 / 予算 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_フード売上 計, 年間予実対比（予実対比）.年間予算_フード売上 計",-,-,既存(V89/V69),380
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_フード売上ランチ,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_フード売上ランチ ÷ 年間予算_フード売上ランチ × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_フード売上ランチ, 年間予実対比（予実対比）.年間予算_フード売上ランチ",-,-,既存(V89/V69),381
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_フード売上ディナー,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_フード売上ディナー ÷ 年間予算_フード売上ディナー × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_フード売上ディナー, 年間予実対比（予実対比）.年間予算_フード売上ディナー",-,-,既存(V89/V69),382
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_ドリンク売上 計,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_ドリンク売上 計 ÷ 年間予算_ドリンク売上 計 × 100,実績 / 予算 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_ドリンク売上 計, 年間予実対比（予実対比）.年間予算_ドリンク売上 計",-,-,既存(V89/V69),383
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_ドリンク売上ランチ,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_ドリンク売上ランチ ÷ 年間予算_ドリンク売上ランチ × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_ドリンク売上ランチ, 年間予実対比（予実対比）.年間予算_ドリンク売上ランチ",-,-,既存(V89/V69),384
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_ドリンク売上ディナー,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_ドリンク売上ディナー ÷ 年間予算_ドリンク売上ディナー × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_ドリンク売上ディナー, 年間予実対比（予実対比）.年間予算_ドリンク売上ディナー",-,-,既存(V89/V69),385
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_その他売上 計,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_その他売上 計 ÷ 年間予算_その他売上 計 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_その他売上 計, 年間予実対比（予実対比）.年間予算_その他売上 計",-,-,既存(V89/V69),386
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_その他売上ランチ,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_その他売上ランチ ÷ 年間予算_その他売上ランチ × 100,実績 / 予算 × 100,D,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_その他売上ランチ, 年間予実対比（予実対比）.年間予算_その他売上ランチ",-,-,既存(V89/V69),387
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_その他売上ディナー,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_その他売上ディナー ÷ 年間予算_その他売上ディナー × 100,実績 / 予算 × 100,D,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_その他売上ディナー, 年間予実対比（予実対比）.年間予算_その他売上ディナー",-,-,既存(V89/V69),388
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_FLコスト 計,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_FLコスト 計 ÷ 年間予算_FLコスト 計 × 100,実績 / 予算 × 100,A,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_FLコスト 計, 年間予実対比（予実対比）.年間予算_FLコスト 計",-,-,既存(V89/V69),389
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_FD仕入 計,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_FD仕入 計 ÷ 年間予算_FD仕入 計 × 100,実績 / 予算 × 100,A,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_FD仕入 計, 年間予実対比（予実対比）.年間予算_FD仕入 計",-,-,既存(V89/V69),390
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_フード仕入,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_フード仕入 ÷ 年間予算_フード仕入 × 100,実績 / 予算 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_フード仕入, 年間予実対比（予実対比）.年間予算_フード仕入",-,-,既存(V89/V69),391
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_ドリンク仕入,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_ドリンク仕入 ÷ 年間予算_ドリンク仕入 × 100,実績 / 予算 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_ドリンク仕入, 年間予実対比（予実対比）.年間予算_ドリンク仕入",-,-,既存(V89/V69),392
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_人件費 計,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_人件費 計 ÷ 年間予算_人件費 計 × 100,実績 / 予算 × 100,A,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_人件費 計, 年間予実対比（予実対比）.年間予算_人件費 計",-,-,既存(V89/V69),393
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_固定人件費,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_固定人件費 ÷ 年間予算_固定人件費 × 100,実績 / 予算 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_固定人件費, 年間予実対比（予実対比）.年間予算_固定人件費",-,-,既存(V89/V69),394
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_PA人件費,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_PA人件費 ÷ 年間予算_PA人件費 × 100,実績 / 予算 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_PA人件費, 年間予実対比（予実対比）.年間予算_PA人件費",-,-,既存(V89/V69),395
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_社員人件費,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_社員人件費 ÷ 年間予算_社員人件費 × 100,実績 / 予算 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_社員人件費, 年間予実対比（予実対比）.年間予算_社員人件費",-,-,既存(V89/V69),396
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_ヘルプ人件費,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_ヘルプ人件費 ÷ 年間予算_ヘルプ人件費 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_ヘルプ人件費, 年間予実対比（予実対比）.年間予算_ヘルプ人件費",-,-,既存(V89/V69),397
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_その他経費 計,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_その他経費 計 ÷ 年間予算_その他経費 計 × 100,実績 / 予算 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_その他経費 計, 年間予実対比（予実対比）.年間予算_その他経費 計",-,-,既存(V89/V69),398
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_地代家賃,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_地代家賃 ÷ 年間予算_地代家賃 × 100,実績 / 予算 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_地代家賃, 年間予実対比（予実対比）.年間予算_地代家賃",-,-,既存(V89/V69),399
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_家賃（変動分）,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_家賃（変動分） ÷ 年間予算_家賃（変動分） × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_家賃（変動分）, 年間予実対比（予実対比）.年間予算_家賃（変動分）",-,-,既存(V89/V69),400
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_水道光熱費,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_水道光熱費 ÷ 年間予算_水道光熱費 × 100,実績 / 予算 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_水道光熱費, 年間予実対比（予実対比）.年間予算_水道光熱費",-,-,既存(V89/V69),401
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_電気代,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_電気代 ÷ 年間予算_電気代 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_電気代, 年間予実対比（予実対比）.年間予算_電気代",-,-,既存(V89/V69),402
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_ガス代,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_ガス代 ÷ 年間予算_ガス代 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_ガス代, 年間予実対比（予実対比）.年間予算_ガス代",-,-,既存(V89/V69),403
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_水道代,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_水道代 ÷ 年間予算_水道代 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_水道代, 年間予実対比（予実対比）.年間予算_水道代",-,-,既存(V89/V69),404
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_減価償却費,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_減価償却費 ÷ 年間予算_減価償却費 × 100,実績 / 予算 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_減価償却費, 年間予実対比（予実対比）.年間予算_減価償却費",-,-,既存(V89/V69),405
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_販促費,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_販促費 ÷ 年間予算_販促費 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_販促費, 年間予実対比（予実対比）.年間予算_販促費",-,-,既存(V89/V69),406
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_資材費,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_資材費 ÷ 年間予算_資材費 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_資材費, 年間予実対比（予実対比）.年間予算_資材費",-,-,既存(V89/V69),407
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_借入金返済,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_借入金返済 ÷ 年間予算_借入金返済 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_借入金返済, 年間予実対比（予実対比）.年間予算_借入金返済",-,-,既存(V89/V69),408
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_IT費用,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_IT費用 ÷ 年間予算_IT費用 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_IT費用, 年間予実対比（予実対比）.年間予算_IT費用",-,-,既存(V89/V69),409
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_ラクミー利用料,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_ラクミー利用料 ÷ 年間予算_ラクミー利用料 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_ラクミー利用料, 年間予実対比（予実対比）.年間予算_ラクミー利用料",-,-,既存(V89/V69),410
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_レジ利用料,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_レジ利用料 ÷ 年間予算_レジ利用料 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_レジ利用料, 年間予実対比（予実対比）.年間予算_レジ利用料",-,-,既存(V89/V69),411
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_クレジットカード手数料,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_クレジットカード手数料 ÷ 年間予算_クレジットカード手数料 × 100,実績 / 予算 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_クレジットカード手数料, 年間予実対比（予実対比）.年間予算_クレジットカード手数料",-,-,既存(V89/V69),412
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_お花代,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_お花代 ÷ 年間予算_お花代 × 100,実績 / 予算 × 100,D,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_お花代, 年間予実対比（予実対比）.年間予算_お花代",-,-,既存(V89/V69),413
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算対比率_営業利益,,,L2-S,単店舗(画面内),画面内演算,年間実績÷年間予算×100,年間実績_営業利益 ÷ 年間予算_営業利益 × 100,実績 / 予算 × 100,A,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間実績_営業利益, 年間予実対比（予実対比）.年間予算_営業利益",-,-,既存(V89/V69),414
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算構成比_総売上 計,,,L2-S,単店舗(画面内),画面内演算,年間予算÷年間予算_総売上×100,年間予算_総売上 計 ÷ 年間予算_総売上 計 × 100,予算 / 予算総売上 × 100,A,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間予算_総売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,-,既存(V89/V69),415
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算構成比_フード売上 計,,,L2-S,単店舗(画面内),画面内演算,年間予算÷年間予算_総売上×100,年間予算_フード売上 計 ÷ 年間予算_総売上 計 × 100,予算 / 予算総売上 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間予算_フード売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,-,既存(V89/V69),416
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算構成比_フード売上ランチ,,,L2-S,単店舗(画面内),画面内演算,年間予算÷年間予算_総売上×100,年間予算_フード売上ランチ ÷ 年間予算_総売上 計 × 100,予算 / 予算総売上 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間予算_フード売上ランチ, 年間予実対比（予実対比）.年間予算_総売上 計",-,-,既存(V89/V69),417
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算構成比_フード売上ディナー,,,L2-S,単店舗(画面内),画面内演算,年間予算÷年間予算_総売上×100,年間予算_フード売上ディナー ÷ 年間予算_総売上 計 × 100,予算 / 予算総売上 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間予算_フード売上ディナー, 年間予実対比（予実対比）.年間予算_総売上 計",-,-,既存(V89/V69),418
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算構成比_ドリンク売上 計,,,L2-S,単店舗(画面内),画面内演算,年間予算÷年間予算_総売上×100,年間予算_ドリンク売上 計 ÷ 年間予算_総売上 計 × 100,予算 / 予算総売上 × 100,B,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間予算_ドリンク売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,-,既存(V89/V69),419
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算構成比_ドリンク売上ランチ,,,L2-S,単店舗(画面内),画面内演算,年間予算÷年間予算_総売上×100,年間予算_ドリンク売上ランチ ÷ 年間予算_総売上 計 × 100,予算 / 予算総売上 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間予算_ドリンク売上ランチ, 年間予実対比（予実対比）.年間予算_総売上 計",-,-,既存(V89/V69),420
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算構成比_ドリンク売上ディナー,,,L2-S,単店舗(画面内),画面内演算,年間予算÷年間予算_総売上×100,年間予算_ドリンク売上ディナー ÷ 年間予算_総売上 計 × 100,予算 / 予算総売上 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間予算_ドリンク売上ディナー, 年間予実対比（予実対比）.年間予算_総売上 計",-,-,既存(V89/V69),421
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算構成比_その他売上 計,,,L2-S,単店舗(画面内),画面内演算,年間予算÷年間予算_総売上×100,年間予算_その他売上 計 ÷ 年間予算_総売上 計 × 100,予算 / 予算総売上 × 100,C,計算項目,-,-,低,◎,"年間予実対比（予実対比）.年間予算_その他売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,-,既存(V89/V69),422
