242,分析画面,支払種別売上分析,MUGENファミリーカード合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'MUGENファミリーカード',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.MUGENファミリーカード合計売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
243,分析画面,支払種別売上分析,売掛合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '売掛',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.売掛合計売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
244,分析画面,支払種別売上分析,交通系IC合計売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '交通系IC',-,head_office_payment_method_sales_logs.sales,TTEND.sales,POS売上（支払方法別）,[外部]TTEND.sales,-,TTEND.sales → head_office_payment_method_sales_logs.sales → 支払種別売上分析.交通系IC合計売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
245,分析画面,日次レポート,売上（税込）,L0,S,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales) GROUP BY date,-,z_totals.sales,ZTOTAL.sales,POS売上（日別集計）,[外部]ZTOTAL.sales,-,ZTOTAL.sales → z_totals.sales → 日次レポート.売上税込,外部連携検証済,ZTOTAL.sales → head_office_connected_service_sales_logs.sales,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
246,分析画面,日次レポート,売上（税抜）,L0,S,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales_excluded) GROUP BY date,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,"ABC分析.売上（税抜）, 当月実績.売上（税抜）, 感度分析.売上（税抜）",ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 日次レポート.売上(税抜),スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
247,分析画面,日次レポート,仕入（税込）,L0,S,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(trade_total.total) GROUP BY date,-,infomart_orders.total,trade_total.total,-,[外部]trade_total.total,-,trade_total.total → infomart_orders.total → 日次レポート.仕入税込,外部連携検証済,trade_total.total → infomart_transactions.total,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
248,分析画面,日次レポート,仕入（税抜）,L0,A,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(infomart_transactions.total_tax_excluded) GROUP BY date,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 日次レポート.仕入（税抜）,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
249,分析画面,日次レポート,PA人件費,L0,S,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,日別集計,SUM(head_office_employee_working_records.daily_cost) GROUP BY date,-,head_office_employee_working_records.daily_cost,head_office_employee_working_records.daily_cost,-,[外部]head_office_employee_working_records.daily_cost,予実対比.PA人件費,head_office_employee_working_records.daily_cost → head_office_employee_working_records.daily_cost → 日次レポート.PA人件費,外部連携検証済,データソース: KOT（勤怠・人件費）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
250,分析画面,時間帯別売上分析,ランチ売上（税抜）,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(時間フィルタ),SUM(TITEM.sales_excluded) WHERE order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,年間予実対比（サマリー）.客単価(ランチ),TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 時間帯別売上分析.ランチ売上(税抜),スキーマ検証済,-,15:00は含むか含まないか不明,時間境界の仕様を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
251,分析画面,時間帯別売上分析,ディナー売上（税抜）,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(時間フィルタ),SUM(TITEM.sales_excluded) WHERE order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,年間予実対比（サマリー）.客単価(ディナー),TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 時間帯別売上分析.ディナー売上(税抜),スキーマ検証済,-,15:01-16:59の売上はどこに計上されるか不明,アイドルタイム売上の扱いを確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
252,分析画面,時間帯別売上分析,客数,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM時間帯別,SUM(ZTOTAL.customers) GROUP BY hour,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,[外部]ZTOTAL.customers,"感度分析.客数, 時間帯別売上分析.客単価（税抜）, 曜日別売上分析.平均客数, 流入分析.テーブル回転数",ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 時間帯別売上分析.客数,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
253,分析画面,時間帯別売上分析,客単価（税抜）,L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上（税抜） ÷ 時間帯別売上分析.客数,-,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","ZTOTAL.sales_excluded, ZTOTAL.customers",POS売上（日別集計）,"当月実績.売上（税抜）, 時間帯別売上分析.客数","感度分析.客単価（税抜）, 月次集計.客単価（税抜）",ZTOTAL.sales_excluded / ZTOTAL.customers → head_office_connected_service_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 時間帯別売上分析.客単価(税抜),スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
254,分析画面,曜日別売上分析,曜日,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,曜日抽出,DAYOFWEEK(ZTOTAL.date),-,z_totals.date,ZTOTAL.date,POS売上（日別集計）,[外部]ZTOTAL.date,-,ZTOTAL.date → z_totals.date → 曜日別売上分析.曜日,外部連携検証済,ZTOTAL.date → head_office_connected_service_sales_logs.date,曜日の開始(日曜 or 月曜)が不明,曜日番号の定義を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
255,分析画面,曜日別売上分析,平均売上（税抜）,L1,C,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(日次レポート.売上（税抜）) GROUP BY dayofweek,日次レポート.売上(税抜),-,-,-,"日次レポート.売上（税抜）, 日次レポート.売上（税抜）",-,日次レポート.売上(税抜) → 曜日別売上分析.平均売上(税抜),演算検証済,インプット元: 日次レポート.売上(税抜),-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
256,分析画面,曜日別売上分析,平均客数,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(時間帯別売上分析.客数) GROUP BY dayofweek,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,時間帯別売上分析.客数,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 曜日別売上分析.平均客数,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
257,分析画面,曜日別売上分析,平均客数（税抜）,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(時間帯別売上分析.客数) GROUP BY dayofweek,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,時間帯別売上分析.客数,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 曜日別売上分析.平均客数(税抜),スキーマ検証済,-,1210版CSVの「平均客数（税抜）」に対応（客数に税抜の概念はないが1210版CSVの表記に合わせる）,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
258,分析画面,月次レポート,原価（金額）,L4a,C,画面内,計算項目,複数種類混在,棚卸入力とインフォマート仕入の組合せ,前月在庫+仕入-当月在庫,月次レポート.対象前月在庫 + 月次レポート.仕入総額 - 月次レポート.対象月在庫,-,"shop_inventories.amount（棚卸入力）, infomart_transactions.total_tax_excluded",infomart_transactions.total_tax_excluded,インフォマート（仕入）,"月次レポート.対象前月在庫, 月次レポート.仕入総額, 月次レポート.対象月在庫",-,tax_excluded_total → shop_inventories.amount（棚卸入力） / infomart_transactions.total_tax_excluded → 月次レポート.原価金額,要確認,テーブル'shop_inventories'が存在しない,棚卸データのテーブル構造が不明,棚卸マスタのスキーマを確認必要,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
259,分析画面,月次レポート,原価率,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,原価÷売上×100,月次レポート.原価金額 ÷ 当月実績.売上（税抜） × 100,月次レポート.原価金額,z_totals.sales_excluded,-,-,当月実績.売上（税抜）,-,z_totals.sales_excluded → 月次レポート.原価金額 → 月次レポート.原価率,演算検証済,インプット元: 月次レポート.原価金額,-,-,実績算出・分析画面,実績算出・分析,実績値の算出と予実対比の分析表示。定義元かつ分析表示。
260,分析画面,月次レポート,売上（税抜）,L0,S,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM月間,SUM(ZTOTAL.sales_excluded) GROUP BY year_month,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 月次レポート.売上(税抜),スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
261,分析画面,月次レポート,対象前月在庫,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE year_month = target_month - 1,-,shop_inventories.amount（棚卸入力）,-,-,-,月次レポート.原価（金額）,shop_inventories.amount（棚卸入力） → 月次レポート.対象前月在庫,AI推測,棚卸マスタから前月末在庫を取得と推測,棚卸マスタのテーブル構造が不明,棚卸データのスキーマを確認必要,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
262,分析画面,月次レポート,仕入総額,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM,SUM(infomart_transactions.total_tax_excluded),-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,月次レポート.原価（金額）,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 月次レポート.仕入総額,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
263,分析画面,月次レポート,対象月在庫,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE year_month = target_month,-,shop_inventories.amount（棚卸入力）,-,-,-,月次レポート.原価（金額）,shop_inventories.amount（棚卸入力） → 月次レポート.対象月在庫,AI推測,棚卸マスタから当月末在庫を取得と推測,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
264,分析画面,月次レポート,年月,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,年月参照,monthly_cost_entries.year_month,-,"monthly_cost_entries.year_month, monthly_costs.value",-,ユーザー入力（費用設定）,-,-,monthly_cost_entries.year_month / monthly_costs.value → 月次レポート.年月,AI推測,費用設定から対象年月を参照,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
265,分析画面,月次レポート,売上（税込）,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM月間,SUM(ZTOTAL.sales) GROUP BY year_month,-,z_totals.sales,ZTOTAL.sales,POS売上（日別集計）,[外部]ZTOTAL.sales,-,ZTOTAL.sales → z_totals.sales → 月次レポート.売上(税込),外部連携検証済,ZTOTAL.sales → head_office_connected_service_sales_logs.sales,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
266,分析画面,月次レポート,仕入（税抜）,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM月間,SUM(infomart_transactions.total_tax_excluded) GROUP BY year_month,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 月次レポート.仕入(税抜),外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
267,分析画面,月次レポート,仕入（税込）,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM月間,SUM(trade_total.total) GROUP BY year_month,-,infomart_orders.total,trade_total.total,-,[外部]trade_total.total,-,trade_total.total → infomart_orders.total → 月次レポート.仕入(税込),外部連携検証済,trade_total.total → infomart_transactions.total,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
268,分析画面,月次レポート,PA人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月間,SUM(head_office_employee_working_records.daily_cost) GROUP BY year_month,-,head_office_employee_working_records.daily_cost,head_office_employee_working_records.daily_cost,-,[外部]head_office_employee_working_records.daily_cost,-,head_office_employee_working_records.daily_cost → head_office_employee_working_records.daily_cost → 月次レポート.PA人件費,外部連携検証済,データソース: KOT（勤怠・人件費）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
269,分析画面,月次集計,客単価（税抜）,L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上（税抜） ÷ 感度分析.客数,-,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","ZTOTAL.sales_excluded, ZTOTAL.customers",POS売上（日別集計）,"当月実績.売上（税抜）, 感度分析.客数","時間帯別売上分析.客単価（税抜）, 感度分析.客単価（税抜）",ZTOTAL.sales_excluded / ZTOTAL.customers → head_office_connected_service_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 月次集計.客単価(税抜),スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
270,分析画面,月次集計,変動費単価,L1,C,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,変動費÷客数,感度分析.変動費 ÷ 感度分析.客数,感度分析.変動費,z_totals.customers,-,-,"感度分析.変動費, 感度分析.客数",感度分析.変動費単価,z_totals.customers → 感度分析.変動費 → 月次集計.変動費単価,演算検証済,インプット元: 感度分析.変動費,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
271,分析画面,月次集計,変動費率,L1,C,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,変動費÷売上×100,感度分析.変動費 ÷ 当月実績.売上（税抜） × 100,感度分析.変動費,z_totals.sales_excluded,-,-,"感度分析.変動費, 当月実績.売上（税抜）",感度分析.変動費率,z_totals.sales_excluded → 感度分析.変動費 → 月次集計.変動費率,演算検証済,インプット元: 感度分析.変動費,-,-,実績算出・分析画面,実績算出・分析,実績値の算出と予実対比の分析表示。定義元かつ分析表示。
272,分析画面,月次集計,仕入費率,L1,C,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,仕入÷売上×100,予実対比.FD仕入 ÷ 当月実績.売上（税抜） × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 当月実績.売上（税抜）",-,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → 月次集計.仕入費率,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,実績値を算出（定義元）。予実差額や各種比率の算出に使用。
273,分析画面,月次集計,PA人件費率,L1,S,画面間,計算項目,外部連携×外部連携,KOT人件費とPOS売上の組合せ,PA人件費÷売上×100,予実対比.PA人件費 ÷ 当月実績.売上（税抜） × 100,-,"head_office_employee_working_records.daily_cost, head_office_connected_service_sales_logs.sales_excluded","head_office_employee_working_records.daily_cost, ZTOTAL.sales_excluded",POS売上（日別集計）,"予実対比.PA人件費, 当月実績.売上（税抜）",-,head_office_employee_working_records.daily_cost / ZTOTAL.sales_excluded → head_office_employee_working_records.daily_cost / head_office_connected_service_sales_logs.sales_excluded → 月次集計.PA人件費率,外部連携検証済,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded,-,-,実績算出・分析画面,実績算出,実績値を算出（定義元）。予実差額や各種比率の算出に使用。
274,分析画面,月次集計,粗利単価,L4a,C,画面間,計算項目,複数種類混在,POS売上と演算結果の組合せ,(売上-原価)÷客数,(当月実績.売上（税抜） - 月次レポート.原価金額) ÷ 感度分析.客数,月次レポート.原価金額,"head_office_connected_service_sales_logs.sales_excluded, z_totals.customers",ZTOTAL.sales_excluded,POS売上（日別集計）,"当月実績.売上（税抜）, 感度分析.客数",感度分析.粗利単価,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / z_totals.customers → 月次レポート.原価金額 → 月次集計.粗利単価,外部連携検証済,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
275,分析画面,月次集計,粗利率,L4a,C,画面間,計算項目,複数種類混在,POS売上と演算結果の組合せ,(売上-原価)÷売上×100,(当月実績.売上（税抜） - 月次レポート.原価金額) ÷ 当月実績.売上（税抜） × 100,月次レポート.原価金額,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,当月実績.売上（税抜）,感度分析.粗利率,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 月次レポート.原価金額 → 月次集計.粗利率,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,実績値の算出と予実対比の分析表示。定義元かつ分析表示。
276,分析画面,月次集計,その他変動費率,L4a,C,画面間,計算項目,複数種類混在,費用設定とPOS売上の組合せ,その他変動費÷売上×100,予実対比.その他経費 ÷ 当月実績.売上（税抜） × 100,-,"monthly_costs.value, head_office_connected_service_sales_logs.sales_excluded",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（費用設定）",当月実績.売上（税抜）,-,ZTOTAL.sales_excluded → monthly_costs.value / head_office_connected_service_sales_logs.sales_excluded → 月次集計.その他変動費率,スキーマ検証済,-,その他経費に変動費のみ含まれるか不明,その他経費の内訳を確認必要,実績算出・分析画面,実績算出・分析,実績値の算出と予実対比の分析表示。定義元かつ分析表示。
277,分析画面,月次集計,変動費,L1,C,画面間,計算項目,演算×外部連携,POS売上と演算結果の組合せ,売上-粗利,当月実績.売上（税抜） - 月次集計.粗利,月次集計.粗利,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,"月次集計.粗利, 当月実績.売上（税抜）",月次集計.粗利,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 月次集計.粗利 → 月次集計.変動費,スキーマ検証済,-,変動費の循環参照問題,変動費の元定義を確認必要,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
278,分析画面,月次集計,粗利,L1,C,画面間,計算項目,演算×外部連携,POS売上と演算結果の組合せ,売上-変動費,当月実績.売上（税抜） - 月次集計.変動費,月次集計.変動費,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,"月次集計.変動費, 当月実績.売上（税抜）",月次集計.変動費,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 月次集計.変動費 → 月次集計.粗利,スキーマ検証済,-,粗利の循環参照問題,粗利の元定義を確認必要,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
279,分析画面,月次集計,固定費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,SUM,SUM(monthly_costs.value) WHERE cost_type = '固定費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 月次集計.固定費,スキーマ検証済,-,固定費の判定方法が不明,費目マスタに固定/変動フラグがあるか確認必要,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
280,分析画面,月次集計,売上（税抜）,L0,S,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 月次集計.売上(税抜),スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
281,分析画面,月次集計,客数,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.customers),-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,[外部]ZTOTAL.customers,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 月次集計.客数,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
282,分析画面,流入分析,テーブル回転数,L4a,C,画面間,計算項目,外部連携×ラクミー設定マスタ,POS売上とラクミー店舗マスタの組合せ,組数÷総卓数,時間帯別売上分析.客数 ÷ 店舗マスタ.総卓数,-,"head_office_connected_service_sales_logs.customers, shops.total_tables",ZTOTAL.customers,POS売上（日別集計）,時間帯別売上分析.客数,流入分析.平均テーブル回転数,ZTOTAL.customers → head_office_connected_service_sales_logs.customers / shops.total_tables → 流入分析.テーブル回転数,外部連携検証済,ZTOTAL.customers → head_office_connected_service_sales_logs.customers,店舗マスタに総卓数カラムがあるか不明,店舗マスタのスキーマを確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
283,分析画面,流入分析,テーブル稼働率,L4a,C,画面間,計算項目,外部連携×ラクミー設定マスタ,予約データとラクミー店舗マスタの組合せ,予約卓÷総卓×100,流入分析.予約客数 ÷ 店舗マスタ.総卓数 × 100,流入分析.予約客数,shops.total_tables,-,-,流入分析.予約客数,-,shops.total_tables → 流入分析.予約客数 → 流入分析.テーブル稼働率,演算検証済,インプット元: 流入分析.予約客数,予約システム連携の有無が不明,予約連携の実装状況を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
284,分析画面,流入分析,予約売上,L4a,C,画面間,計算項目,複数種類混在,POS+予約+演算の組合せ,予約客売上,当月実績.売上（税抜） × (流入分析.予約客数 ÷ 感度分析.客数),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,"当月実績.売上（税抜）, 流入分析.予約客数, 感度分析.客数","流入分析.ウォークイン売上, 流入分析.予約客単価",ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 流入分析.予約売上,スキーマ検証済,-,予約売上の算出ロジックが推測,予約連携の仕様を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
285,分析画面,流入分析,予約客数,L0,A,-,予約システム,外部連携単独,予約システムから単独取得,SUM予約,SUM(予約連携.customers),-,reservations.customers,-,-,-,"流入分析.ウォークイン客数, 流入分析.テーブル稼働率, 流入分析.予約売上, 流入分析.予約客単価, 流入分析.予約客数トレンド",reservations.customers → 流入分析.予約客数,AI推測,予約連携データから客数を取得と推測,予約データのテーブル名が不明,予約連携データソースを確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
286,分析画面,流入分析,予約客単価,L4b,A,画面内,計算項目,演算×演算,複数の演算結果の組合せ,予約売上÷予約客数,流入分析.予約売上 ÷ 流入分析.予約客数,流入分析.予約売上,-,-,-,"流入分析.予約売上, 流入分析.予約客数",-,流入分析.予約売上 → 流入分析.予約客単価,演算検証済,インプット元: 流入分析.予約売上,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
287,分析画面,流入分析,ウォークイン売上,L1,C,画面間,計算項目,演算×外部連携,POS売上と演算結果の組合せ,総売上-予約売上,予実対比.総売上 - 流入分析.予約売上,流入分析.予約売上,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,"流入分析.予約売上, 予実対比.総売上",流入分析.ウォークイン客単価,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 流入分析.予約売上 → 流入分析.ウォークイン売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
288,分析画面,流入分析,ウォークイン客数,L1,A,画面間,計算項目,外部連携×外部連携,POS売上と予約データの組合せ,総客数-予約客数,感度分析.客数 - 流入分析.予約客数,-,"head_office_connected_service_sales_logs.customers, reservations.customers","ZTOTAL.customers, 予約連携.customers",POS売上（日別集計）,"感度分析.客数, 流入分析.予約客数","流入分析.ウォークイン客単価, 流入分析.ウォークイン客数トレンド",ZTOTAL.customers / 予約連携.customers → head_office_connected_service_sales_logs.customers / reservations.customers → 流入分析.ウォークイン客数,外部連携検証済,ZTOTAL.customers → head_office_connected_service_sales_logs.customers,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
289,分析画面,流入分析,ウォークイン客単価,L4b,A,画面内,計算項目,演算×演算,複数の演算結果の組合せ,WI売上÷WI客数,流入分析.ウォークイン売上 ÷ 流入分析.ウォークイン客数,"流入分析.ウォークイン売上, 流入分析.ウォークイン客数",-,-,-,"流入分析.ウォークイン売上, 流入分析.ウォークイン客数, 流入分析.ウォークイン売上, 流入分析.ウォークイン客数",-,流入分析.ウォークイン売上 / 流入分析.ウォークイン客数 → 流入分析.ウォークイン客単価,演算検証済,"インプット元: 流入分析.ウォークイン売上, 流入分析.ウォークイン客数",-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
