画面タイトル,画面タイプ,次数,指標名,計算レイヤー,依存先指標,用途コメント,V89No
月次レポート,分析画面,1次,店舗名,L0,[マスタ]shops.name,-,149
月次レポート,分析画面,2次,原価率,L1,当月実績.売上（税抜）,-,145
月次レポート,分析画面,2次,仕入総額,L1,[外部]tax_excluded_total.amount,-,147
月次レポート,分析画面,2次,売上合計（税抜）,L1,[外部]ZTOTAL.sales_excluded,-,150
月次レポート,分析画面,3次,原価（金額）,L2-C,月次レポート.仕入総額,-,144
月次レポート,分析画面,3次,対象前月在庫（金額）,L2-C,-,-,146
月次レポート,分析画面,3次,対象月在庫（金額）,L2-C,-,-,148
費目別仕入分析,分析画面,1次,費目,L0,[マスタ]monthly_cost_items.name,-,151
費目別仕入分析,分析画面,2次,金額（税抜）,L1,-,-,152
費目別仕入分析,分析画面,3次,比率,L2-C,-,-,153
進捗分析,分析画面,3次,利益進捗率,L2-C,当月実績.営業利益,-,154
進捗分析,分析画面,3次,売上進捗率,L2-C,"店舗別サマリー.売上（税抜）, 店舗別サマリー.売上目標",-,155
進捗分析,分析画面,3次,達成率,L2-C,当月実績.売上（税抜）,-,156
進捗分析,分析画面,3次,進捗率比較（前月）,L2-C,当月実績.売上（税抜）,-,157
進捗分析,分析画面,3次,進捗率比較（前々月）,L2-C,当月実績.売上（税抜）,-,158
ラベル一覧,一覧表示画面,1次,店舗ID,L0,-,-,159
ラベル一覧,一覧表示画面,1次,店舗名,L0,-,-,160
ラベル一覧,一覧表示画面,1次,ラベル名,L0,-,-,161
商品仕入単価,一覧表示画面,3次,アイテム,L2-C,[外部]detail_list.item_name,-,162
商品仕入単価,一覧表示画面,3次,金額（税抜）,L2-C,[外部]detail_list.price,-,163
商品仕入単価,一覧表示画面,3次,数量,L2-C,[外部]detail_list.num,-,164
商品仕入単価,一覧表示画面,3次,単価,L2-C,商品仕入単価.数量,-,165
棚卸詳細,一覧表示画面,1次,実施日,L0,-,-,166
棚卸詳細,一覧表示画面,1次,カテゴリ,L0,-,-,168
棚卸詳細,一覧表示画面,1次,ラベル,L0,-,-,169
棚卸詳細,一覧表示画面,1次,在庫数量,L0,-,-,170
棚卸詳細,一覧表示画面,1次,商品単価,L0,-,-,171
棚卸詳細,一覧表示画面,3次,仕入れ先,L2-C,-,-,167
棚卸詳細,一覧表示画面,3次,小計,L2-C,-,-,172
納品書管理,一覧表示画面,1次,店舗名,L0,-,-,176
納品書管理,一覧表示画面,3次,納品書ID,L2-C,-,-,173
納品書管理,一覧表示画面,3次,受付日付,L2-C,-,-,174
納品書管理,一覧表示画面,3次,納品日,L2-C,-,-,175
納品書管理,一覧表示画面,3次,処理ステータス,L2-C,-,-,177
納品書管理,一覧表示画面,3次,発注先,L2-C,-,-,178
納品書詳細,一覧表示画面,3次,納品書ID,L2-C,-,-,179
納品書詳細,一覧表示画面,3次,発注者,L2-C,-,-,180
納品書詳細,一覧表示画面,3次,受注者,L2-C,-,-,181
納品書詳細,一覧表示画面,3次,処理ステータス,L2-C,-,-,182
納品書詳細,一覧表示画面,3次,納品日,L2-C,-,-,183
主要KPI指標,ダッシュボード表示画面,4次,坪月商,L3-C,当月実績.売上（税抜）,-,184
主要KPI指標,ダッシュボード表示画面,4次,営業利益率,L3-C,"当月実績.営業利益, 当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,185
主要KPI指標,ダッシュボード表示画面,4次,家賃比率,L3-C,当月実績.売上（税抜）,-,186
主要KPI指標,ダッシュボード表示画面,4次,ROI,L3-C,当月実績.営業利益,-,187
主要KPI指標,ダッシュボード表示画面,5次,総合パフォーマンススコア,L4(提案),坪月商; 営業利益率; 家賃比率,【KPI用】複数KPIの重み付け合成スコア（売上×利益率×客数） / 概念式: 主要指標の加重平均,提案
主要KPI指標,ダッシュボード表示画面,5次,異常検知フラグ,L4(提案),坪月商; 営業利益率; 家賃比率,【異常検知用】閾値超過時にアラート表示 / 概念式: 指標 > 閾値 or < 閾値,提案
年間予実対比（サマリー）,ダッシュボード表示画面,2次,FD仕入額,L1,[外部]infomart_transactions.total_tax_excluded,-,250
年間予実対比（サマリー）,ダッシュボード表示画面,2次,人件費額,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,251
年間予実対比（サマリー）,ダッシュボード表示画面,4次,客単価（ランチ）,L3-S,"時間帯別売上分析.ランチ売上（税抜）, 時間帯別売上分析.客数",-,247
年間予実対比（サマリー）,ダッシュボード表示画面,4次,客単価（ディナー）,L3-S,"時間帯別売上分析.ディナー売上（税抜）, 時間帯別売上分析.客数",-,248
年間予実対比（サマリー）,ダッシュボード表示画面,4次,営業利益,L3-S,"当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,249
年間予実対比（サマリー）,ダッシュボード表示画面,4次,客単価,L3-S,"当月実績.売上（税抜）, 感度分析.客数",-,252
年間予実対比（サマリー）,ダッシュボード表示画面,5次,年次成長トレンド指標,L4(提案),客単価（ランチ）; 客単価（ディナー）; 営業利益,【予測用】年間実績の前年同月比からの成長率 / 概念式: 年間実績_* / 前年同期比,提案
年間予実対比（サマリー）,ダッシュボード表示画面,5次,年間予算達成進捗の加速率,L4(提案),客単価（ランチ）; 客単価（ディナー）; 営業利益,【経営判断用】予算達成ペースの変化（加速/減速） / 概念式: 年間予算対比率_* (前月比),提案
店舗ラベル別サマリー,ダッシュボード表示画面,2次,売上目標,L1,[入力]monthly_budgets.profit,-,190
店舗ラベル別サマリー,ダッシュボード表示画面,3次,売上（税抜）,L2-L,[外部]ZTOTAL.sales_excluded,-,189
店舗ラベル別サマリー,ダッシュボード表示画面,4次,営業利益,L3-L,"店舗ラベル別サマリー.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,188
店舗ラベル別サマリー,ダッシュボード表示画面,4次,売上達成率,L3-L,"店舗ラベル別サマリー.売上（税抜）, 店舗ラベル別サマリー.売上目標",-,191
店舗ラベル別サマリー,ダッシュボード表示画面,4次,売上進捗率,L3-L,"店舗ラベル別サマリー.売上（税抜）, 店舗ラベル別サマリー.売上目標",-,192
店舗ラベル別サマリー,ダッシュボード表示画面,4次,FD仕入率,L3-L,"予実対比.FD仕入, 店舗ラベル別サマリー.売上（税抜）",-,193
店舗ラベル別サマリー,ダッシュボード表示画面,4次,人件費率,L3-L,"予実対比.人件費, 店舗ラベル別サマリー.売上（税抜）",-,194
店舗ラベル別サマリー,ダッシュボード表示画面,5次,総合パフォーマンススコア,L4(提案),営業利益; 売上達成率; 売上進捗率,【KPI用】複数KPIの重み付け合成スコア（売上×利益率×客数） / 概念式: 主要指標の加重平均,提案
店舗ラベル別サマリー,ダッシュボード表示画面,5次,異常検知フラグ,L4(提案),営業利益; 売上達成率; 売上進捗率,【異常検知用】閾値超過時にアラート表示 / 概念式: 指標 > 閾値 or < 閾値,提案
店舗別サマリー,ダッシュボード表示画面,2次,売上目標,L1,[入力]monthly_budgets.profit,-,197
店舗別サマリー,ダッシュボード表示画面,3次,売上（税抜）,L2-C,[外部]ZTOTAL.sales_excluded,-,196
店舗別サマリー,ダッシュボード表示画面,4次,営業利益,L3-C,"店舗別サマリー.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,195
店舗別サマリー,ダッシュボード表示画面,4次,売上達成率,L3-C,"店舗別サマリー.売上（税抜）, 店舗別サマリー.売上目標",-,198
店舗別サマリー,ダッシュボード表示画面,4次,売上進捗率,L3-C,"店舗別サマリー.売上（税抜）, 店舗別サマリー.売上目標",-,199
店舗別サマリー,ダッシュボード表示画面,4次,FD仕入率,L3-C,"予実対比.FD仕入, 店舗別サマリー.売上（税抜）",-,200
店舗別サマリー,ダッシュボード表示画面,4次,人件費率,L3-C,"予実対比.人件費, 店舗別サマリー.売上（税抜）",-,201
店舗別サマリー,ダッシュボード表示画面,5次,総合パフォーマンススコア,L4(提案),営業利益; 売上達成率; 売上進捗率,【KPI用】複数KPIの重み付け合成スコア（売上×利益率×客数） / 概念式: 主要指標の加重平均,提案
店舗別サマリー,ダッシュボード表示画面,5次,異常検知フラグ,L4(提案),営業利益; 売上達成率; 売上進捗率,【異常検知用】閾値超過時にアラート表示 / 概念式: 指標 > 閾値 or < 閾値,提案
当月実績,ダッシュボード表示画面,2次,営業利益予算,L1,SUM(紐づく店舗.月次予算設定.営業利益予算),-,207
当月実績,ダッシュボード表示画面,2次,売上予算,L1,SUM(紐づく店舗.月次予算設定.売上予算),-,209
当月実績,ダッシュボード表示画面,3次,売上（税抜）,L2-C,[外部]ZTOTAL.sales_excluded,-,203
当月実績,ダッシュボード表示画面,4次,営業利益,L3-C,"当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,202
当月実績,ダッシュボード表示画面,4次,FD仕入率,L3-C,"予実対比.FD仕入, 当月実績.売上（税抜）",-,204
当月実績,ダッシュボード表示画面,4次,人件費率,L3-C,"予実対比.人件費, 当月実績.売上（税抜）",-,205
当月実績,ダッシュボード表示画面,4次,FL率,L3-C,"予実対比.FD仕入, 予実対比.人件費, 当月実績.売上（税抜）",-,206
当月実績,ダッシュボード表示画面,4次,営業利益達成率,L3-C,"当月実績.営業利益, 当月実績.営業利益予算",-,208
当月実績,ダッシュボード表示画面,4次,売上達成率,L3-C,"当月実績.売上（税抜）, 当月実績.売上予算",-,210
当月実績,ダッシュボード表示画面,5次,総合パフォーマンススコア,L4(提案),営業利益; FD仕入率; 人件費率,【KPI用】複数KPIの重み付け合成スコア（売上×利益率×客数） / 概念式: 主要指標の加重平均,提案
当月実績,ダッシュボード表示画面,5次,異常検知フラグ,L4(提案),営業利益; FD仕入率; 人件費率,【異常検知用】閾値超過時にアラート表示 / 概念式: 指標 > 閾値 or < 閾値,提案
