次数,画面タイトル,画面タイプ,指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,依存先指標,被参照指標,V69No
2次,年間予実対比（予実対比）,分析画面,年間予算_ドリンク仕入,L1,同画面内,予算設定参照×演算,年間予算_FD仕入×ドリンク比率,年間予算_FD仕入 計 × FD構成比設定.ドリンク比率,FD仕入予算 × drink_ratio,B,計算項目,-,"monthly_budgets.food_cost_rate, fd_compositions.drink_ratio",月次予算設定.年間ドリンク仕入,-,320
2次,年間予実対比（予実対比）,分析画面,年間予算_人件費 計,L1,同画面内,予算設定参照×演算,(売上×PA人件費率+固定人件費)の年間累計,SUM(monthly_budgets.target_sales × monthly_budgets.labor_cost_rate + 固定人件費) GROUP BY year,(target_sales × labor_cost_rate + 固定人件費),A,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.labor_cost_rate, 固定人件費予算",月次予算設定.年間人件費,-,321
2次,年間予実対比（予実対比）,分析画面,年間予算_PA人件費,L1,同画面内,予算設定参照×演算,売上×PA人件費率の年間累計,SUM(monthly_budgets.target_sales × monthly_budgets.labor_cost_rate) GROUP BY year,target_sales × labor_cost_rate,B,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.labor_cost_rate",月次予算設定.年間PA人件費,-,323
2次,店舗ラベル別サマリー,ダッシュボード表示画面,売上目標,L1,同画面内,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.value,A,予算設定（入力）,店舗ラベルでグルーピングした主要指標サマリー。売上・コスト等の集計ディメンション,monthly_budgets.profit,[入力]monthly_budgets.profit,"店舗ラベル別サマリー.売上進捗率, 店舗ラベル別サマリー.売上達成率",190
2次,店舗別サマリー,ダッシュボード表示画面,売上目標,L1,同画面内,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.value,A,予算設定（入力）,店舗ごとの主要指標サマリー,monthly_budgets.profit,[入力]monthly_budgets.profit,"店舗別サマリー.売上進捗率, 店舗別サマリー.売上達成率, 進捗分析.売上進捗率",197
2次,店舗別人件費,分析画面,売上（税込）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM支払別,SUM(TTEND.sales) GROUP BY payment_method_id,A,POS（売上・客数）,店舗別の人件費・売上分析,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,"支払種別売上分析.売上比率, 日次レポート",121
2次,店舗別人件費,分析画面,売上比率,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,支払÷総売上×100,支払種別売上分析.売上税込 ÷ 当月実績.売上（税抜） × 100,A,計算項目,店舗別の人件費・売上分析,"head_office_payment_method_sales_logs.sales, head_office_connected_service_sales_logs.sales_excluded",当月実績.売上（税抜）,-,122
2次,店舗別人件費,分析画面,売上（税込）,L1,同画面内,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales) GROUP BY date,A,POS（売上・客数）,店舗別の人件費・売上分析,z_totals.sales,[外部]ZTOTAL.sales,-,128
2次,店舗別人件費,分析画面,売上（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales_excluded) GROUP BY date,A,POS（売上・客数）,店舗別の人件費・売上分析,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,"当月実績.売上（税抜）, 店舗別サマリー.売上（税抜）, ABC分析.売上（税抜）, 日次推移.売上（税抜）",129
2次,店舗別人件費,分析画面,仕入（税込）,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(trade_total.total) GROUP BY date,C,インフォマート（仕入）,店舗別の人件費・売上分析,infomart_orders.trade_total,[外部]trade_total.total,-,130
2次,店舗別人件費,分析画面,仕入（税抜）,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(infomart_transactions.total_tax_excluded) GROUP BY date,C,インフォマート（仕入）,店舗別の人件費・売上分析,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,131
2次,店舗別人件費,分析画面,PA人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,日別集計,SUM(head_office_employee_working_records.daily_cost) GROUP BY date,C,KOT（勤怠・人件費）,店舗別の人件費・売上分析,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,"日次推移.PA人件費, 予実対比.PA人件費",132
2次,店舗別人件費,分析画面,売上（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales_excluded) GROUP BY date,A,POS（売上・客数）,店舗別の人件費・売上分析,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,"ABC分析, 店舗別サマリー, 当月実績, 日次レポート, 曜日別売上分析.平均売上（税抜）",133
2次,店舗別人件費,分析画面,仕入費,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(infomart_transactions.total_tax_excluded) GROUP BY date,C,インフォマート（仕入）,店舗別の人件費・売上分析,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,134
2次,店舗別人件費,分析画面,PA人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,日別集計,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY date,C,KOT（勤怠・人件費）,店舗別の人件費・売上分析,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,"予実対比, 日次レポート",135
2次,店舗別人件費,分析画面,ランチ売上（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(時間フィルタ),SUM(TITEM.sales_excluded) WHERE order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,店舗別の人件費・売上分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,年間予実対比.客単価（ランチ）,136
2次,店舗別人件費,分析画面,ディナー売上（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(時間フィルタ),SUM(TITEM.sales_excluded) WHERE order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,店舗別の人件費・売上分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,年間予実対比.客単価（ディナー）,137
2次,店舗別人件費,分析画面,客数,L1,同画面内,外部連携単独,POSデータから単独取得,SUM時間帯別,SUM(ZTOTAL.customers) GROUP BY hour,A,POS（売上・客数）,店舗別の人件費・売上分析,head_office_connected_service_sales_logs.customers,[外部]ZTOTAL.customers,"客数.当月客数, 年間予実対比.客単価（ディナー）, 年間予実対比.客単価（ランチ）, 時間帯別売上分析.客単価（税抜）, 曜日別売上分析.平均客数, 曜日別売上分析.平均客数（税抜）",138
2次,店舗別人件費,分析画面,客単価（税抜）,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上（税抜） ÷ 時間帯別売上分析.客数,A,計算項目,店舗別の人件費・売上分析,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","当月実績.売上（税抜）, 時間帯別売上分析.客数",-,139
2次,当月実績,ダッシュボード表示画面,営業利益予算,L1,同画面内,予算設定参照,月次予算設定の目標利益を参照表示,参照表示,monthly_budgets.profit,S,予算設定（入力）,当月の実績サマリー,monthly_budgets.profit,SUM(紐づく店舗.月次予算設定.営業利益予算),当月実績.営業利益達成率,207
2次,当月実績,ダッシュボード表示画面,売上予算,L1,同画面内,予算設定参照,月次予算設定の目標売上を参照表示,参照表示,monthly_budgets.sales,S,予算設定（入力）,当月の実績サマリー,monthly_budgets.sales,SUM(紐づく店舗.月次予算設定.売上予算),当月実績.売上達成率,209
2次,支払方法別分析,分析画面,支払方法,L1,同画面内,外部連携単独,POSデータから単独取得,マスタ参照,TTEND.head_office_payment_method_id,D,POS（売上・客数）,支払方法別の売上分析,t_tends.head_office_payment_method_id,[外部]TTEND.head_office_payment_method_id,-,120
2次,支払方法別分析,分析画面,クレジットカード合計売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'クレジットカード',C,POS（売上・客数）,支払方法別の売上分析,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,-,123
2次,支払方法別分析,分析画面,QR決済合計売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'QR決済',C,POS（売上・客数）,支払方法別の売上分析,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,-,124
2次,支払方法別分析,分析画面,MUGENファミリーカード合計売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'MUGENファミリーカード',C,POS（売上・客数）,支払方法別の売上分析,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,-,125
2次,支払方法別分析,分析画面,売掛合計売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '売掛',C,POS（売上・客数）,支払方法別の売上分析,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,-,126
2次,支払方法別分析,分析画面,交通系IC合計売上,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '交通系IC',C,POS（売上・客数）,支払方法別の売上分析,head_office_payment_method_sales_logs.sales,[外部]TTEND.sales,-,127
2次,曜日別分析,分析画面,曜日,L1,同画面内,外部連携単独,POSデータから単独取得,曜日抽出,DAYOFWEEK(ZTOTAL.date),C,POS（売上・客数）,曜日別の売上・客数分析,z_totals.date,[外部]ZTOTAL.date,-,140
2次,曜日別分析,分析画面,平均売上（税抜）,L1,同画面内,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(日次推移.売上（税抜）) GROUP BY dayofweek,C,計算項目,曜日別の売上・客数分析,-,"日次推移.売上（税抜）, 日次推移.売上（税抜）",-,141
2次,曜日別分析,分析画面,平均客数,L1,同画面内,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(時間帯別売上分析.客数) GROUP BY dayofweek,A,計算項目,曜日別の売上・客数分析,head_office_connected_service_sales_logs.customers,時間帯別売上分析.客数,"時間帯別売上分析.客数, 客数.当月客数",142
2次,曜日別分析,分析画面,平均客数（税抜）,L1,同画面内,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(時間帯別売上分析.客数) GROUP BY dayofweek,A,計算項目,曜日別の売上・客数分析,head_office_connected_service_sales_logs.customers,時間帯別売上分析.客数,-,143
2次,月次レポート,分析画面,原価率,L1,同画面内,演算×外部連携,演算結果とPOS売上の組合せ,原価÷売上×100,月次レポート.原価金額 ÷ 当月実績.売上（税抜） × 100,A,計算項目,月次の経営レポート,z_totals.sales_excluded,当月実績.売上（税抜）,-,145
2次,月次レポート,分析画面,仕入総額,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM,SUM(tax_excluded_total.amount),C,インフォマート（仕入）,月次の経営レポート,infomart_transactions.total_tax_excluded,[外部]tax_excluded_total.amount,月次レポート.原価（金額）,147
2次,月次レポート,分析画面,売上合計（税抜）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM月間,SUM(ZTOTAL.sales_excluded) GROUP BY year_month,A,POS（売上・客数）,月次の経営レポート,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,-,150
2次,費目別仕入分析,分析画面,金額（税抜）,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,SUM費目別,SUM(monthly_costs.value) GROUP BY cost_item_id,C,計算項目,費目別の仕入分析,monthly_costs.value,-,費目別仕入分析.比率,152
3次,予実対比,分析画面,営業利益,L2-C,全店舗,複数種類混在,POS+インフォマート+KOT+費用設定の組合せ,売上-仕入-人件費-経費,当月実績.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,S,計算項目,予算と実績の対比分析,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費","当月実績.営業利益, 店舗別サマリー.営業利益",87
3次,商品仕入単価,一覧表示画面,アイテム,L2-C,全店舗,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,detail_list.item_name,D,インフォマート（仕入）,商品仕入単価の一覧,infomart_order_details.item_name,[外部]detail_list.item_name,平均単価推移.仕入商品ラベル,162
3次,商品仕入単価,一覧表示画面,金額（税抜）,L2-C,全店舗,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(detail_list.price) GROUP BY item_name,C,インフォマート（仕入）,商品仕入単価の一覧,infomart_order_details.price,[外部]detail_list.price,商品仕入単価.単価,163
3次,商品仕入単価,一覧表示画面,数量,L2-C,全店舗,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(detail_list.num) GROUP BY item_name,C,インフォマート（仕入）,商品仕入単価の一覧,infomart_order_details.num,[外部]detail_list.num,"商品仕入単価.単価, 平均単価推移.数量",164
3次,商品仕入単価,一覧表示画面,単価,L2-C,全店舗,実績参照,分析画面で算出された値を参照表示,参照表示,商品仕入単価.金額税抜 ÷ 商品仕入単価.数量,C,計算項目,商品仕入単価の一覧,"infomart_order_details.price, infomart_order_details.num",商品仕入単価.数量,平均単価推移.平均単価,165
3次,平均単価推移,分析画面,平均単価推移,L2-C,全店舗,演算×演算,複数の演算結果の組合せ,直近6ヶ月の平均単価推移,平均単価推移.平均単価 WHERE year_month >= NOW() - 6months,C,計算項目,平均単価の推移分析,-,平均単価推移.平均単価,-,86
3次,年間予実対比,分析画面,月次実績_FLコスト 計,L2-S,単店舗,画面内演算,月次FD仕入+月次人件費の合計,月次実績_FD仕入 計 + 月次実績_人件費 計,FD仕入 + 人件費,A,計算項目,-,-,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次実績_人件費 計",-,257
3次,年間予実対比,分析画面,月次実績_営業利益,L2-S,単店舗,画面内演算,月次総売上-月次FLコスト-月次その他経費,月次実績_総売上 計 - 月次実績_FLコスト 計 - 月次実績_その他経費 計,総売上 - FLコスト - その他経費,A,計算項目,-,-,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次実績_その他経費 計",-,261
3次,年間予実対比,分析画面,月次予算_FLコスト 計,L2-S,単店舗,画面内演算,月次予算_FD仕入+月次予算_人件費の合計,月次予算_FD仕入 計 + 月次予算_人件費 計,FD仕入予算 + 人件費予算,A,計算項目,-,-,"年間予実対比.月次予算_FD仕入 計, 年間予実対比.月次予算_人件費 計",-,266
3次,年間予実対比,分析画面,月次予算_営業利益,L2-S,単店舗,画面内演算,月次予算_総売上-月次予算_FLコスト-月次予算_その他経費,月次予算_総売上 計 - 月次予算_FLコスト 計 - 月次予算_その他経費 計,予算_総売上 - 予算_FLコスト - 予算_その他経費,A,計算項目,-,-,"年間予実対比.月次予算_総売上 計, 年間予実対比.月次予算_FLコスト 計, 年間予実対比.月次予算_その他経費 計",-,270
3次,年間予実対比,分析画面,予算構成比_総売上 計,L2-S,単店舗,画面内演算,月次予算_総売上÷月次予算_総売上×100,月次予算_総売上 計 ÷ 月次予算_総売上 計 × 100,100%（基準値）,A,計算項目,-,-,年間予実対比.月次予算_総売上 計,-,271
3次,年間予実対比,分析画面,予算構成比_フード売上 計,L2-S,単店舗,画面内演算,月次予算_フード売上÷月次予算_総売上×100,月次予算_フード売上 計 ÷ 月次予算_総売上 計 × 100,月次予算_フード売上 / 月次予算_総売上 × 100 GROUP BY year_month,B,計算項目,-,-,"年間予実対比.月次予算_フード売上 計, 年間予実対比.月次予算_総売上 計",-,272
3次,年間予実対比,分析画面,予算構成比_ドリンク売上 計,L2-S,単店舗,画面内演算,月次予算_ドリンク売上÷月次予算_総売上×100,月次予算_ドリンク売上 計 ÷ 月次予算_総売上 計 × 100,月次予算_ドリンク売上 / 月次予算_総売上 × 100 GROUP BY year_month,B,計算項目,-,-,"年間予実対比.月次予算_ドリンク売上 計, 年間予実対比.月次予算_総売上 計",-,273
3次,年間予実対比,分析画面,予算構成比_その他売上 計,L2-S,単店舗,画面内演算,月次予算_その他売上÷月次予算_総売上×100,月次予算_その他売上 計 ÷ 月次予算_総売上 計 × 100,月次予算_その他売上 / 月次予算_総売上 × 100 GROUP BY year_month,C,計算項目,-,-,"年間予実対比.月次予算_その他売上 計, 年間予実対比.月次予算_総売上 計",-,274
3次,年間予実対比,分析画面,予算構成比_FLコスト 計,L2-S,単店舗,画面内演算,月次予算_FLコスト÷月次予算_総売上×100,月次予算_FLコスト 計 ÷ 月次予算_総売上 計 × 100,月次予算_FLコスト / 月次予算_総売上 × 100 GROUP BY year_month,A,計算項目,-,-,"年間予実対比.月次予算_FLコスト 計, 年間予実対比.月次予算_総売上 計",-,275
3次,年間予実対比,分析画面,予算構成比_FD仕入 計,L2-S,単店舗,画面内演算,月次予算_FD仕入÷月次予算_総売上×100,月次予算_FD仕入 計 ÷ 月次予算_総売上 計 × 100,月次予算_FD仕入 / 月次予算_総売上 × 100 GROUP BY year_month,A,計算項目,-,-,"年間予実対比.月次予算_FD仕入 計, 年間予実対比.月次予算_総売上 計",-,276
3次,年間予実対比,分析画面,予算構成比_人件費 計,L2-S,単店舗,画面内演算,月次予算_人件費÷月次予算_総売上×100,月次予算_人件費 計 ÷ 月次予算_総売上 計 × 100,月次予算_人件費 / 月次予算_総売上 × 100 GROUP BY year_month,A,計算項目,-,-,"年間予実対比.月次予算_人件費 計, 年間予実対比.月次予算_総売上 計",-,277
3次,年間予実対比,分析画面,予算構成比_その他経費 計,L2-S,単店舗,画面内演算,月次予算_その他経費÷月次予算_総売上×100,月次予算_その他経費 計 ÷ 月次予算_総売上 計 × 100,月次予算_その他経費 / 月次予算_総売上 × 100 GROUP BY year_month,B,計算項目,-,-,"年間予実対比.月次予算_その他経費 計, 年間予実対比.月次予算_総売上 計",-,278
3次,年間予実対比,分析画面,予算構成比_営業利益,L2-S,単店舗,画面内演算,月次予算_営業利益÷月次予算_総売上×100,月次予算_営業利益 ÷ 月次予算_総売上 計 × 100,月次予算_営業利益 / 月次予算_総売上 × 100 GROUP BY year_month,A,計算項目,-,-,"年間予実対比.月次予算_営業利益, 年間予実対比.月次予算_総売上 計",-,279
3次,年間予実対比,分析画面,予実差額_総売上 計,L2-S,単店舗,画面内演算,月次実績_総売上-月次予算_総売上 計,月次実績_総売上 計 - 月次予算_総売上 計,実績 - 予算,A,計算項目,-,-,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次予算_総売上 計",-,280
3次,年間予実対比,分析画面,予実差額_フード売上 計,L2-S,単店舗,画面内演算,月次実績_フード売上-月次予算_フード売上,月次実績_フード売上 計 - 月次予算_フード売上 計,実績 - 予算,B,計算項目,-,-,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次予算_フード売上 計",-,281
3次,年間予実対比,分析画面,予実差額_ドリンク売上 計,L2-S,単店舗,画面内演算,月次実績_ドリンク売上-月次予算_ドリンク売上,月次実績_ドリンク売上 計 - 月次予算_ドリンク売上 計,実績 - 予算,B,計算項目,-,-,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次予算_ドリンク売上 計",-,282
3次,年間予実対比,分析画面,予実差額_その他売上 計,L2-S,単店舗,画面内演算,月次実績_その他売上-月次予算_その他売上,月次実績_その他売上 計 - 月次予算_その他売上 計,実績 - 予算,C,計算項目,-,-,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次予算_その他売上 計",-,283
3次,年間予実対比,分析画面,予実差額_FLコスト 計,L2-S,単店舗,画面内演算,月次実績_FLコスト-月次予算_FLコスト,月次実績_FLコスト 計 - 月次予算_FLコスト 計,実績 - 予算,A,計算項目,-,-,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次予算_FLコスト 計",-,284
3次,年間予実対比,分析画面,予実差額_FD仕入 計,L2-S,単店舗,画面内演算,月次実績_FD仕入-月次予算_FD仕入,月次実績_FD仕入 計 - 月次予算_FD仕入 計,実績 - 予算,A,計算項目,-,-,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次予算_FD仕入 計",-,285
3次,年間予実対比,分析画面,予実差額_人件費 計,L2-S,単店舗,画面内演算,月次実績_人件費-月次予算_人件費,月次実績_人件費 計 - 月次予算_人件費 計,実績 - 予算,A,計算項目,-,-,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次予算_人件費 計",-,286
3次,年間予実対比,分析画面,予実差額_その他経費 計,L2-S,単店舗,画面内演算,月次実績_その他経費-月次予算_その他経費,月次実績_その他経費 計 - 月次予算_その他経費 計,実績 - 予算,B,計算項目,-,-,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次予算_その他経費 計",-,287
3次,年間予実対比,分析画面,予実差額_営業利益,L2-S,単店舗,画面内演算,月次実績_営業利益-月次予算_営業利益,月次実績_営業利益 - 月次予算_営業利益,実績 - 予算,A,計算項目,-,-,"年間予実対比.月次実績_営業利益, 年間予実対比.月次予算_営業利益",-,288
3次,年間予実対比,分析画面,予算対比率_総売上 計,L2-S,単店舗,画面内演算,月次実績_総売上÷月次予算_総売上×100,月次実績_総売上 計 ÷ 月次予算_総売上 計 × 100,実績 / 予算 × 100,A,計算項目,-,-,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次予算_総売上 計",-,289
3次,年間予実対比,分析画面,予算対比率_フード売上 計,L2-S,単店舗,画面内演算,月次実績_フード売上÷月次予算_フード売上×100,月次実績_フード売上 計 ÷ 月次予算_フード売上 計 × 100,実績 / 予算 × 100,B,計算項目,-,-,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次予算_フード売上 計",-,290
3次,年間予実対比,分析画面,予算対比率_ドリンク売上 計,L2-S,単店舗,画面内演算,月次実績_ドリンク売上÷月次予算_ドリンク売上×100,月次実績_ドリンク売上 計 ÷ 月次予算_ドリンク売上 計 × 100,実績 / 予算 × 100,B,計算項目,-,-,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次予算_ドリンク売上 計",-,291
3次,年間予実対比,分析画面,予算対比率_その他売上 計,L2-S,単店舗,画面内演算,月次実績_その他売上÷月次予算_その他売上×100,月次実績_その他売上 計 ÷ 月次予算_その他売上 計 × 100,実績 / 予算 × 100,C,計算項目,-,-,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次予算_その他売上 計",-,292
3次,年間予実対比,分析画面,予算対比率_FLコスト 計,L2-S,単店舗,画面内演算,月次実績_FLコスト÷月次予算_FLコスト×100,月次実績_FLコスト 計 ÷ 月次予算_FLコスト 計 × 100,実績 / 予算 × 100,A,計算項目,-,-,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次予算_FLコスト 計",-,293
3次,年間予実対比,分析画面,予算対比率_FD仕入 計,L2-S,単店舗,画面内演算,月次実績_FD仕入÷月次予算_FD仕入×100,月次実績_FD仕入 計 ÷ 月次予算_FD仕入 計 × 100,実績 / 予算 × 100,A,計算項目,-,-,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次予算_FD仕入 計",-,294
3次,年間予実対比,分析画面,予算対比率_人件費 計,L2-S,単店舗,画面内演算,月次実績_人件費÷月次予算_人件費×100,月次実績_人件費 計 ÷ 月次予算_人件費 計 × 100,実績 / 予算 × 100,A,計算項目,-,-,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次予算_人件費 計",-,295
3次,年間予実対比,分析画面,予算対比率_その他経費 計,L2-S,単店舗,画面内演算,月次実績_その他経費÷月次予算_その他経費×100,月次実績_その他経費 計 ÷ 月次予算_その他経費 計 × 100,実績 / 予算 × 100,B,計算項目,-,-,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次予算_その他経費 計",-,296
3次,年間予実対比,分析画面,予算対比率_営業利益,L2-S,単店舗,画面内演算,月次実績_営業利益÷月次予算_営業利益×100,月次実績_営業利益 ÷ 月次予算_営業利益 × 100,実績 / 予算 × 100,A,計算項目,-,-,"年間予実対比.月次実績_営業利益, 年間予実対比.月次予算_営業利益",-,297
3次,年間予実対比,分析画面,構成比_総売上 計,L2-S,単店舗,画面内演算,月次実績_総売上÷月次実績_総売上×100,月次実績_総売上 計 ÷ 月次実績_総売上 計 × 100,100%（基準値）,A,計算項目,-,-,年間予実対比.月次実績_総売上 計,-,298
3次,年間予実対比,分析画面,構成比_フード売上 計,L2-S,単店舗,画面内演算,月次実績_フード売上÷月次実績_総売上×100,月次実績_フード売上 計 ÷ 月次実績_総売上 計 × 100,月次実績_フード売上 / 月次実績_総売上 × 100,B,計算項目,-,-,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次実績_総売上 計",-,299
3次,年間予実対比,分析画面,構成比_ドリンク売上 計,L2-S,単店舗,画面内演算,月次実績_ドリンク売上÷月次実績_総売上×100,月次実績_ドリンク売上 計 ÷ 月次実績_総売上 計 × 100,月次実績_ドリンク売上 / 月次実績_総売上 × 100,B,計算項目,-,-,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次実績_総売上 計",-,300
3次,年間予実対比,分析画面,構成比_その他売上 計,L2-S,単店舗,画面内演算,月次実績_その他売上÷月次実績_総売上×100,月次実績_その他売上 計 ÷ 月次実績_総売上 計 × 100,月次実績_その他売上 / 月次実績_総売上 × 100,C,計算項目,-,-,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次実績_総売上 計",-,301
3次,年間予実対比,分析画面,構成比_FLコスト 計,L2-S,単店舗,画面内演算,月次実績_FLコスト÷月次実績_総売上×100,月次実績_FLコスト 計 ÷ 月次実績_総売上 計 × 100,月次実績_FLコスト / 月次実績_総売上 × 100,A,計算項目,-,-,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次実績_総売上 計",-,302
3次,年間予実対比,分析画面,構成比_FD仕入 計,L2-S,単店舗,画面内演算,月次実績_FD仕入÷月次実績_総売上×100,月次実績_FD仕入 計 ÷ 月次実績_総売上 計 × 100,月次実績_FD仕入 / 月次実績_総売上 × 100,A,計算項目,-,-,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次実績_総売上 計",-,303
3次,年間予実対比,分析画面,構成比_人件費 計,L2-S,単店舗,画面内演算,月次実績_人件費÷月次実績_総売上×100,月次実績_人件費 計 ÷ 月次実績_総売上 計 × 100,月次実績_人件費 / 月次実績_総売上 × 100,A,計算項目,-,-,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次実績_総売上 計",-,304
3次,年間予実対比,分析画面,構成比_その他経費 計,L2-S,単店舗,画面内演算,月次実績_その他経費÷月次実績_総売上×100,月次実績_その他経費 計 ÷ 月次実績_総売上 計 × 100,月次実績_その他経費 / 月次実績_総売上 × 100,B,計算項目,-,-,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次実績_総売上 計",-,305
3次,年間予実対比,分析画面,構成比_営業利益,L2-S,単店舗,画面内演算,月次実績_営業利益÷月次実績_総売上×100,月次実績_営業利益 ÷ 月次実績_総売上 計 × 100,月次実績_営業利益 / 月次実績_総売上 × 100,A,計算項目,-,-,"年間予実対比.月次実績_営業利益, 年間予実対比.月次実績_総売上 計",-,306
3次,年間予実対比（予実対比）,分析画面,年間実績_FLコスト 計,L2-S,単店舗,外部連携×外部連携,インフォマート仕入とKOT人件費の組合せ,SUM,SUM(infomart_transactions.total_tax_excluded) + SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,C,計算項目,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs",-,年間予実対比（予実対比）.営業利益,217
