画面タイトル,画面タイプ,次数,指標名,計算レイヤー,依存先指標,用途コメント,V89No
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_家賃（変動分）,L2-S,"年間予実対比（予実対比）.年間実績_家賃（変動分）, 年間予実対比（予実対比）.年間予算_家賃（変動分）",-,644
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_水道光熱費,L2-S,"年間予実対比（予実対比）.年間実績_水道光熱費, 年間予実対比（予実対比）.年間予算_水道光熱費",-,645
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_電気代,L2-S,"年間予実対比（予実対比）.年間実績_電気代, 年間予実対比（予実対比）.年間予算_電気代",-,646
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ガス代,L2-S,"年間予実対比（予実対比）.年間実績_ガス代, 年間予実対比（予実対比）.年間予算_ガス代",-,647
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_水道代,L2-S,"年間予実対比（予実対比）.年間実績_水道代, 年間予実対比（予実対比）.年間予算_水道代",-,648
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_減価償却費,L2-S,"年間予実対比（予実対比）.年間実績_減価償却費, 年間予実対比（予実対比）.年間予算_減価償却費",-,649
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_販促費,L2-S,"年間予実対比（予実対比）.年間実績_販促費, 年間予実対比（予実対比）.年間予算_販促費",-,650
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_資材費,L2-S,"年間予実対比（予実対比）.年間実績_資材費, 年間予実対比（予実対比）.年間予算_資材費",-,651
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_借入金返済,L2-S,"年間予実対比（予実対比）.年間実績_借入金返済, 年間予実対比（予実対比）.年間予算_借入金返済",-,652
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_IT費用,L2-S,"年間予実対比（予実対比）.年間実績_IT費用, 年間予実対比（予実対比）.年間予算_IT費用",-,653
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ラクミー利用料,L2-S,"年間予実対比（予実対比）.年間実績_ラクミー利用料, 年間予実対比（予実対比）.年間予算_ラクミー利用料",-,654
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_レジ利用料,L2-S,"年間予実対比（予実対比）.年間実績_レジ利用料, 年間予実対比（予実対比）.年間予算_レジ利用料",-,655
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_クレジットカード手数料,L2-S,"年間予実対比（予実対比）.年間実績_クレジットカード手数料, 年間予実対比（予実対比）.年間予算_クレジットカード手数料",-,656
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_お花代,L2-S,"年間予実対比（予実対比）.年間実績_お花代, 年間予実対比（予実対比）.年間予算_お花代",-,657
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_営業利益,L2-S,"年間予実対比（予実対比）.年間実績_営業利益, 年間予実対比（予実対比）.年間予算_営業利益",-,658
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_総売上 計,L2-S,"年間予実対比（予実対比）.年間予算_総売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,659
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_フード売上 計,L2-S,"年間予実対比（予実対比）.年間予算_フード売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,660
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_フード売上ランチ,L2-S,"年間予実対比（予実対比）.年間予算_フード売上ランチ, 年間予実対比（予実対比）.年間予算_総売上 計",-,661
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_フード売上ディナー,L2-S,"年間予実対比（予実対比）.年間予算_フード売上ディナー, 年間予実対比（予実対比）.年間予算_総売上 計",-,662
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ドリンク売上 計,L2-S,"年間予実対比（予実対比）.年間予算_ドリンク売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,663
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ドリンク売上ランチ,L2-S,"年間予実対比（予実対比）.年間予算_ドリンク売上ランチ, 年間予実対比（予実対比）.年間予算_総売上 計",-,664
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ドリンク売上ディナー,L2-S,"年間予実対比（予実対比）.年間予算_ドリンク売上ディナー, 年間予実対比（予実対比）.年間予算_総売上 計",-,665
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_その他売上 計,L2-S,"年間予実対比（予実対比）.年間予算_その他売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,666
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_その他売上ランチ,L2-S,"年間予実対比（予実対比）.年間予算_その他売上ランチ, 年間予実対比（予実対比）.年間予算_総売上 計",-,667
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_その他売上ディナー,L2-S,"年間予実対比（予実対比）.年間予算_その他売上ディナー, 年間予実対比（予実対比）.年間予算_総売上 計",-,668
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_FLコスト 計,L2-S,"年間予実対比（予実対比）.年間予算_FLコスト 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,669
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_FD仕入 計,L2-S,"年間予実対比（予実対比）.年間予算_FD仕入 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,670
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_フード仕入,L2-S,"年間予実対比（予実対比）.年間予算_フード仕入, 年間予実対比（予実対比）.年間予算_総売上 計",-,671
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ドリンク仕入,L2-S,"年間予実対比（予実対比）.年間予算_ドリンク仕入, 年間予実対比（予実対比）.年間予算_総売上 計",-,672
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_人件費 計,L2-S,"年間予実対比（予実対比）.年間予算_人件費 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,673
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_固定人件費,L2-S,"年間予実対比（予実対比）.年間予算_固定人件費, 年間予実対比（予実対比）.年間予算_総売上 計",-,674
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_PA人件費,L2-S,"年間予実対比（予実対比）.年間予算_PA人件費, 年間予実対比（予実対比）.年間予算_総売上 計",-,675
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_社員人件費,L2-S,"年間予実対比（予実対比）.年間予算_社員人件費, 年間予実対比（予実対比）.年間予算_総売上 計",-,676
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ヘルプ人件費,L2-S,"年間予実対比（予実対比）.年間予算_ヘルプ人件費, 年間予実対比（予実対比）.年間予算_総売上 計",-,677
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_その他経費 計,L2-S,"年間予実対比（予実対比）.年間予算_その他経費 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,678
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_地代家賃,L2-S,"年間予実対比（予実対比）.年間予算_地代家賃, 年間予実対比（予実対比）.年間予算_総売上 計",-,679
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_家賃（変動分）,L2-S,"年間予実対比（予実対比）.年間予算_家賃（変動分）, 年間予実対比（予実対比）.年間予算_総売上 計",-,680
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_水道光熱費,L2-S,"年間予実対比（予実対比）.年間予算_水道光熱費, 年間予実対比（予実対比）.年間予算_総売上 計",-,681
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_電気代,L2-S,"年間予実対比（予実対比）.年間予算_電気代, 年間予実対比（予実対比）.年間予算_総売上 計",-,682
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ガス代,L2-S,"年間予実対比（予実対比）.年間予算_ガス代, 年間予実対比（予実対比）.年間予算_総売上 計",-,683
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_水道代,L2-S,"年間予実対比（予実対比）.年間予算_水道代, 年間予実対比（予実対比）.年間予算_総売上 計",-,684
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_減価償却費,L2-S,"年間予実対比（予実対比）.年間予算_減価償却費, 年間予実対比（予実対比）.年間予算_総売上 計",-,685
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_販促費,L2-S,"年間予実対比（予実対比）.年間予算_販促費, 年間予実対比（予実対比）.年間予算_総売上 計",-,686
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_資材費,L2-S,"年間予実対比（予実対比）.年間予算_資材費, 年間予実対比（予実対比）.年間予算_総売上 計",-,687
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_借入金返済,L2-S,"年間予実対比（予実対比）.年間予算_借入金返済, 年間予実対比（予実対比）.年間予算_総売上 計",-,688
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_IT費用,L2-S,"年間予実対比（予実対比）.年間予算_IT費用, 年間予実対比（予実対比）.年間予算_総売上 計",-,689
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ラクミー利用料,L2-S,"年間予実対比（予実対比）.年間予算_ラクミー利用料, 年間予実対比（予実対比）.年間予算_総売上 計",-,690
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_レジ利用料,L2-S,"年間予実対比（予実対比）.年間予算_レジ利用料, 年間予実対比（予実対比）.年間予算_総売上 計",-,691
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_クレジットカード手数料,L2-S,"年間予実対比（予実対比）.年間予算_クレジットカード手数料, 年間予実対比（予実対比）.年間予算_総売上 計",-,692
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_お花代,L2-S,"年間予実対比（予実対比）.年間予算_お花代, 年間予実対比（予実対比）.年間予算_総売上 計",-,693
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_営業利益,L2-S,"年間予実対比（予実対比）.年間予算_営業利益, 年間予実対比（予実対比）.年間予算_総売上 計",-,694
年間予実対比（予実対比）,分析画面,3次,年間構成比_総売上 計,L2-S,"年間予実対比（予実対比）.年間実績_総売上 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,695
年間予実対比（予実対比）,分析画面,3次,年間構成比_フード売上 計,L2-S,"年間予実対比（予実対比）.年間実績_フード売上 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,696
年間予実対比（予実対比）,分析画面,3次,年間構成比_フード売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ランチ, 年間予実対比（予実対比）.年間実績_総売上 計",-,697
年間予実対比（予実対比）,分析画面,3次,年間構成比_フード売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ディナー, 年間予実対比（予実対比）.年間実績_総売上 計",-,698
年間予実対比（予実対比）,分析画面,3次,年間構成比_ドリンク売上 計,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,699
年間予実対比（予実対比）,分析画面,3次,年間構成比_ドリンク売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ランチ, 年間予実対比（予実対比）.年間実績_総売上 計",-,700
年間予実対比（予実対比）,分析画面,3次,年間構成比_ドリンク売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ディナー, 年間予実対比（予実対比）.年間実績_総売上 計",-,701
年間予実対比（予実対比）,分析画面,3次,年間構成比_その他売上 計,L2-S,"年間予実対比（予実対比）.年間実績_その他売上 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,702
年間予実対比（予実対比）,分析画面,3次,年間構成比_その他売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ランチ, 年間予実対比（予実対比）.年間実績_総売上 計",-,703
年間予実対比（予実対比）,分析画面,3次,年間構成比_その他売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ディナー, 年間予実対比（予実対比）.年間実績_総売上 計",-,704
年間予実対比（予実対比）,分析画面,3次,年間構成比_FLコスト 計,L2-S,"年間予実対比（予実対比）.年間実績_FLコスト 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,705
年間予実対比（予実対比）,分析画面,3次,年間構成比_FD仕入 計,L2-S,"年間予実対比（予実対比）.年間実績_FD仕入 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,706
年間予実対比（予実対比）,分析画面,3次,年間構成比_フード仕入,L2-S,"年間予実対比（予実対比）.年間実績_フード仕入, 年間予実対比（予実対比）.年間実績_総売上 計",-,707
年間予実対比（予実対比）,分析画面,3次,年間構成比_ドリンク仕入,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク仕入, 年間予実対比（予実対比）.年間実績_総売上 計",-,708
年間予実対比（予実対比）,分析画面,3次,年間構成比_人件費 計,L2-S,"年間予実対比（予実対比）.年間実績_人件費 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,709
年間予実対比（予実対比）,分析画面,3次,年間構成比_固定人件費,L2-S,"年間予実対比（予実対比）.年間実績_固定人件費, 年間予実対比（予実対比）.年間実績_総売上 計",-,710
年間予実対比（予実対比）,分析画面,3次,年間構成比_PA人件費,L2-S,"年間予実対比（予実対比）.年間実績_PA人件費, 年間予実対比（予実対比）.年間実績_総売上 計",-,711
年間予実対比（予実対比）,分析画面,3次,年間構成比_社員人件費,L2-S,"年間予実対比（予実対比）.年間実績_社員人件費, 年間予実対比（予実対比）.年間実績_総売上 計",-,712
年間予実対比（予実対比）,分析画面,3次,年間構成比_ヘルプ人件費,L2-S,"年間予実対比（予実対比）.年間実績_ヘルプ人件費, 年間予実対比（予実対比）.年間実績_総売上 計",-,713
年間予実対比（予実対比）,分析画面,3次,年間構成比_その他経費 計,L2-S,"年間予実対比（予実対比）.年間実績_その他経費 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,714
年間予実対比（予実対比）,分析画面,3次,年間構成比_地代家賃,L2-S,"年間予実対比（予実対比）.年間実績_地代家賃, 年間予実対比（予実対比）.年間実績_総売上 計",-,715
年間予実対比（予実対比）,分析画面,3次,年間構成比_家賃（変動分）,L2-S,"年間予実対比（予実対比）.年間実績_家賃（変動分）, 年間予実対比（予実対比）.年間実績_総売上 計",-,716
年間予実対比（予実対比）,分析画面,3次,年間構成比_水道光熱費,L2-S,"年間予実対比（予実対比）.年間実績_水道光熱費, 年間予実対比（予実対比）.年間実績_総売上 計",-,717
年間予実対比（予実対比）,分析画面,3次,年間構成比_電気代,L2-S,"年間予実対比（予実対比）.年間実績_電気代, 年間予実対比（予実対比）.年間実績_総売上 計",-,718
年間予実対比（予実対比）,分析画面,3次,年間構成比_ガス代,L2-S,"年間予実対比（予実対比）.年間実績_ガス代, 年間予実対比（予実対比）.年間実績_総売上 計",-,719
年間予実対比（予実対比）,分析画面,3次,年間構成比_水道代,L2-S,"年間予実対比（予実対比）.年間実績_水道代, 年間予実対比（予実対比）.年間実績_総売上 計",-,720
年間予実対比（予実対比）,分析画面,3次,年間構成比_減価償却費,L2-S,"年間予実対比（予実対比）.年間実績_減価償却費, 年間予実対比（予実対比）.年間実績_総売上 計",-,721
年間予実対比（予実対比）,分析画面,3次,年間構成比_販促費,L2-S,"年間予実対比（予実対比）.年間実績_販促費, 年間予実対比（予実対比）.年間実績_総売上 計",-,722
年間予実対比（予実対比）,分析画面,3次,年間構成比_資材費,L2-S,"年間予実対比（予実対比）.年間実績_資材費, 年間予実対比（予実対比）.年間実績_総売上 計",-,723
年間予実対比（予実対比）,分析画面,3次,年間構成比_借入金返済,L2-S,"年間予実対比（予実対比）.年間実績_借入金返済, 年間予実対比（予実対比）.年間実績_総売上 計",-,724
年間予実対比（予実対比）,分析画面,3次,年間構成比_IT費用,L2-S,"年間予実対比（予実対比）.年間実績_IT費用, 年間予実対比（予実対比）.年間実績_総売上 計",-,725
年間予実対比（予実対比）,分析画面,3次,年間構成比_ラクミー利用料,L2-S,"年間予実対比（予実対比）.年間実績_ラクミー利用料, 年間予実対比（予実対比）.年間実績_総売上 計",-,726
年間予実対比（予実対比）,分析画面,3次,年間構成比_レジ利用料,L2-S,"年間予実対比（予実対比）.年間実績_レジ利用料, 年間予実対比（予実対比）.年間実績_総売上 計",-,727
年間予実対比（予実対比）,分析画面,3次,年間構成比_クレジットカード手数料,L2-S,"年間予実対比（予実対比）.年間実績_クレジットカード手数料, 年間予実対比（予実対比）.年間実績_総売上 計",-,728
年間予実対比（予実対比）,分析画面,3次,年間構成比_お花代,L2-S,"年間予実対比（予実対比）.年間実績_お花代, 年間予実対比（予実対比）.年間実績_総売上 計",-,729
年間予実対比（予実対比）,分析画面,3次,年間構成比_営業利益,L2-S,"年間予実対比（予実対比）.年間実績_営業利益, 年間予実対比（予実対比）.年間実績_総売上 計",-,730
年間予実対比（予実対比）,分析画面,4次,年間実績_ヘルプ人件費,L3-S,[外部]勤怠連携（KOT/ジョブカン）.ヘルプ人件費,-,292
年間予実対比（予実対比）,分析画面,4次,年間予算_固定人件費,L3-S,月次予算設定.年間固定人件費,-,566
年間予実対比（予実対比）,分析画面,4次,年間予算_社員人件費,L3-S,月次予算設定.年間社員人件費,-,568
年間予実対比（予実対比）,分析画面,4次,年間予算_ヘルプ人件費,L3-S,月次予算設定.年間ヘルプ人件費,-,569
年間予実対比（予実対比）,分析画面,4次,年間予算_その他経費 計,L3-S,月次予算設定.年間その他経費,-,570
年間予実対比（予実対比）,分析画面,4次,年間予算_地代家賃,L3-S,月次予算設定.年間地代家賃,-,571
年間予実対比（予実対比）,分析画面,4次,年間予算_家賃（変動分）,L3-S,月次予算設定.年間家賃（変動分）,-,572
年間予実対比（予実対比）,分析画面,4次,年間予算_水道光熱費,L3-S,月次予算設定.年間水道光熱費,-,573
年間予実対比（予実対比）,分析画面,4次,年間予算_電気代,L3-S,月次予算設定.年間電気代,-,574
年間予実対比（予実対比）,分析画面,4次,年間予算_ガス代,L3-S,月次予算設定.年間ガス代,-,575
年間予実対比（予実対比）,分析画面,4次,年間予算_水道代,L3-S,月次予算設定.年間水道代,-,576
年間予実対比（予実対比）,分析画面,4次,年間予算_減価償却費,L3-S,月次予算設定.年間減価償却費,-,577
年間予実対比（予実対比）,分析画面,4次,年間予算_販促費,L3-S,月次予算設定.年間販促費,-,578
年間予実対比（予実対比）,分析画面,4次,年間予算_資材費,L3-S,月次予算設定.年間資材費,-,579
年間予実対比（予実対比）,分析画面,4次,年間予算_借入金返済,L3-S,月次予算設定.年間借入金返済,-,580
年間予実対比（予実対比）,分析画面,4次,年間予算_IT費用,L3-S,月次予算設定.年間IT費用,-,581
年間予実対比（予実対比）,分析画面,4次,年間予算_ラクミー利用料,L3-S,月次予算設定.年間ラクミー利用料,-,582
年間予実対比（予実対比）,分析画面,4次,年間予算_レジ利用料,L3-S,月次予算設定.年間レジ利用料,-,583
年間予実対比（予実対比）,分析画面,4次,年間予算_クレジットカード手数料,L3-S,月次予算設定.年間クレジットカード手数料,-,584
年間予実対比（予実対比）,分析画面,4次,年間予算_お花代,L3-S,月次予算設定.年間お花代,-,585
年間予実対比（予実対比）,分析画面,5次,年次成長トレンド指標,L4(提案),年間実績_ヘルプ人件費; 年間予算_固定人件費; 年間予算_社員人件費,【予測用】年間実績の前年同月比からの成長率 / 概念式: 年間実績_* / 前年同期比,提案
年間予実対比（予実対比）,分析画面,5次,年間予算達成進捗の加速率,L4(提案),年間実績_ヘルプ人件費; 年間予算_固定人件費; 年間予算_社員人件費,【経営判断用】予算達成ペースの変化（加速/減速） / 概念式: 年間予算対比率_* (前月比),提案
感度分析,分析画面,2次,客数,L1,[外部]ZTOTAL.customers,-,303
感度分析,分析画面,2次,売上（税抜）,L1,[外部]ZTOTAL.sales_excluded,-,304
感度分析,分析画面,2次,固定費,L1,-,-,307
感度分析,分析画面,3次,変動費単価,L2-S,"感度分析.変動費, 感度分析.客数",-,299
感度分析,分析画面,4次,客単価（税抜）,L3-S,"当月実績.売上（税抜）, 感度分析.客数",-,298
感度分析,分析画面,4次,変動費率,L3-S,"感度分析.変動費, 当月実績.売上（税抜）",-,300
感度分析,分析画面,4次,粗利単価,L3-S,"当月実績.売上（税抜）, 感度分析.客数",-,301
感度分析,分析画面,4次,粗利率,L3-S,当月実績.売上（税抜）,-,302
感度分析,分析画面,4次,変動費,L3-S,"感度分析.粗利, 当月実績.売上（税抜）",-,305
感度分析,分析画面,4次,粗利,L3-S,"感度分析.変動費, 当月実績.売上（税抜）",-,306
感度分析,分析画面,5次,異常スコア,L4(提案),客単価（税抜）; 変動費率; 粗利単価,【異常検知用】標準偏差からの逸脱度 / 概念式: (値 - 平均) / 標準偏差,提案
支払種別売上分析,分析画面,2次,支払方法,L1,[外部]TTEND.head_office_payment_method_id,-,308
支払種別売上分析,分析画面,2次,売上（税込）,L1,[外部]TTEND.sales,-,309
支払種別売上分析,分析画面,2次,クレジットカード合計売上,L1,[外部]TTEND.sales,-,311
支払種別売上分析,分析画面,2次,QR決済合計売上,L1,[外部]TTEND.sales,-,312
支払種別売上分析,分析画面,2次,MUGENファミリーカード合計売上,L1,[外部]TTEND.sales,-,313
支払種別売上分析,分析画面,2次,売掛合計売上,L1,[外部]TTEND.sales,-,314
支払種別売上分析,分析画面,2次,交通系IC合計売上,L1,[外部]TTEND.sales,-,315
支払種別売上分析,分析画面,4次,売上比率,L3-S,当月実績.売上（税抜）,-,310
支払種別売上分析,分析画面,5次,異常スコア,L4(提案),売上比率,【異常検知用】標準偏差からの逸脱度 / 概念式: (値 - 平均) / 標準偏差,提案
日次レポート,分析画面,2次,売上（税込）,L1,[外部]ZTOTAL.sales,-,316
日次レポート,分析画面,2次,売上（税抜）,L1,[外部]ZTOTAL.sales_excluded,-,317
日次レポート,分析画面,2次,仕入（税込）,L1,[外部]trade_total.total,-,318
日次レポート,分析画面,2次,仕入（税抜）,L1,[外部]infomart_transactions.total_tax_excluded,-,319
日次レポート,分析画面,2次,PA人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,320
時間帯別売上分析,分析画面,2次,ランチ売上（税抜）,L1,[外部]TITEM.sales_excluded,-,321
時間帯別売上分析,分析画面,2次,ディナー売上（税抜）,L1,[外部]TITEM.sales_excluded,-,322
時間帯別売上分析,分析画面,2次,客数,L1,[外部]ZTOTAL.customers,-,323
時間帯別売上分析,分析画面,4次,客単価（税抜）,L3-S,"当月実績.売上（税抜）, 時間帯別売上分析.客数",-,324
時間帯別売上分析,分析画面,5次,異常スコア,L4(提案),客単価（税抜）,【異常検知用】標準偏差からの逸脱度 / 概念式: (値 - 平均) / 標準偏差,提案
曜日別売上分析,分析画面,2次,曜日,L1,[外部]ZTOTAL.date,-,325
曜日別売上分析,分析画面,4次,平均売上（税抜）,L3-S,"日次レポート.売上（税抜）, 日次レポート.売上（税抜）",-,326
曜日別売上分析,分析画面,4次,平均客数,L3-S,時間帯別売上分析.客数,-,327
曜日別売上分析,分析画面,4次,平均客数（税抜）,L3-S,時間帯別売上分析.客数,-,328
曜日別売上分析,分析画面,5次,異常スコア,L4(提案),平均売上（税抜）; 平均客数; 平均客数（税抜）,【異常検知用】標準偏差からの逸脱度 / 概念式: (値 - 平均) / 標準偏差,提案
月次レポート,分析画面,2次,売上（税抜）,L1,[外部]ZTOTAL.sales_excluded,-,331
月次レポート,分析画面,2次,対象前月在庫,L1,-,-,332
月次レポート,分析画面,2次,仕入総額,L1,[外部]infomart_transactions.total_tax_excluded,-,333
月次レポート,分析画面,2次,対象月在庫,L1,-,-,334
月次レポート,分析画面,2次,年月,L1,-,-,335
月次レポート,分析画面,2次,売上（税込）,L1,[外部]ZTOTAL.sales,-,336
月次レポート,分析画面,2次,仕入（税抜）,L1,[外部]infomart_transactions.total_tax_excluded,-,337
月次レポート,分析画面,2次,仕入（税込）,L1,[外部]trade_total.total,-,338
月次レポート,分析画面,2次,PA人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,339
月次レポート,分析画面,3次,原価（金額）,L2-S,"月次レポート.対象前月在庫, 月次レポート.仕入総額, 月次レポート.対象月在庫",-,329
月次レポート,分析画面,4次,原価率,L3-S,当月実績.売上（税抜）,-,330
月次レポート,分析画面,5次,異常スコア,L4(提案),原価率,【異常検知用】標準偏差からの逸脱度 / 概念式: (値 - 平均) / 標準偏差,提案
月次集計,分析画面,2次,固定費,L1,-,-,350
月次集計,分析画面,2次,売上（税抜）,L1,[外部]ZTOTAL.sales_excluded,-,351
月次集計,分析画面,2次,客数,L1,[外部]ZTOTAL.customers,-,352
月次集計,分析画面,4次,客単価（税抜）,L3-S,"当月実績.売上（税抜）, 感度分析.客数",-,340
月次集計,分析画面,4次,変動費単価,L3-S,"感度分析.変動費, 感度分析.客数",-,341
月次集計,分析画面,4次,変動費率,L3-S,"感度分析.変動費, 当月実績.売上（税抜）",-,342
月次集計,分析画面,4次,仕入費率,L3-S,"予実対比.FD仕入, 当月実績.売上（税抜）",-,343
月次集計,分析画面,4次,PA人件費率,L3-S,"予実対比.PA人件費, 当月実績.売上（税抜）",-,344
月次集計,分析画面,4次,粗利単価,L3-S,"当月実績.売上（税抜）, 感度分析.客数",-,345
月次集計,分析画面,4次,粗利率,L3-S,当月実績.売上（税抜）,-,346
月次集計,分析画面,4次,その他変動費率,L3-S,当月実績.売上（税抜）,-,347
月次集計,分析画面,4次,変動費,L3-S,"月次集計.粗利, 当月実績.売上（税抜）",-,348
月次集計,分析画面,4次,粗利,L3-S,"月次集計.変動費, 当月実績.売上（税抜）",-,349
月次集計,分析画面,5次,月次パフォーマンスサマリー,L4(提案),客単価（税抜）; 変動費単価; 変動費率,【経営判断用】月次指標の総合評価スコア / 概念式: 変動費率・粗利率・利益の複合評価,提案
流入分析,分析画面,1次,総卓数,L0,[マスタ]shops.total_tables,-,363
流入分析,分析画面,2次,予約客数,L1,-,-,356
流入分析,分析画面,2次,総席数,L1,[外部]ZTOTAL.customers,-,361
流入分析,分析画面,2次,総組数,L1,[外部]TTOTAL.receipt_no,-,362
流入分析,分析画面,2次,客数,L1,[外部]ZTOTAL.customers,-,371
流入分析,分析画面,3次,予約客単価,L2-S,"流入分析.予約売上, 流入分析.予約客数",-,357
流入分析,分析画面,3次,ウォークイン客単価,L2-S,"流入分析.ウォークイン売上, 流入分析.ウォークイン客数, 流入分析.ウォークイン売上, 流入分析.ウォークイン客数",-,360
流入分析,分析画面,3次,回転数,L2-S,"流入分析.総組数, 流入分析.総卓数",-,364
流入分析,分析画面,3次,予約客数トレンド,L2-S,流入分析.予約客数,-,367
流入分析,分析画面,3次,ウォークイン客数トレンド,L2-S,流入分析.ウォークイン客数,-,368
流入分析,分析画面,3次,平均回転数,L2-S,流入分析.回転数,-,369
流入分析,分析画面,3次,平均テーブル回転数,L2-S,流入分析.テーブル回転数,-,370
流入分析,分析画面,4次,テーブル回転数,L3-S,時間帯別売上分析.客数,-,353
流入分析,分析画面,4次,テーブル稼働率,L3-S,流入分析.予約客数,-,354
流入分析,分析画面,4次,予約売上,L3-S,"当月実績.売上（税抜）, 流入分析.予約客数, 感度分析.客数",-,355
流入分析,分析画面,4次,ウォークイン売上,L3-S,"流入分析.予約売上, 予実対比.総売上",-,358
流入分析,分析画面,4次,ウォークイン客数,L3-S,"感度分析.客数, 流入分析.予約客数",-,359
流入分析,分析画面,4次,予約売上合計,L3-S,当月実績.売上（税抜）,-,365
流入分析,分析画面,4次,ウォークイン売上合計,L3-S,"流入分析.予約売上合計, 予実対比.総売上",-,366
流入分析,分析画面,5次,異常スコア,L4(提案),テーブル回転数; テーブル稼働率; 予約売上,【異常検知用】標準偏差からの逸脱度 / 概念式: (値 - 平均) / 標準偏差,提案
費目別仕入分析,分析画面,1次,費目,L0,[マスタ]monthly_cost_items.name,-,372
費目別仕入分析,分析画面,2次,金額（税抜）,L1,-,-,373
費目別仕入分析,分析画面,3次,比率,L2-S,-,-,374
集計（仕入）税抜,分析画面,3次,仕入率（％）,L2-S,"仕入額, 売上総額",-,789
集計（仕入）税込,分析画面,3次,仕入率（％）,L2-S,"仕入額税込, 売上総額税込",-,797
